White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
fleroyer,MiloBot,0-1,False,True,1144,1066,rnbbk1r1/1p5p/p1p1p1pB/q2pN3/BP2P3/P1N5/2P2PPP/R3QRK1,40
KingChessLover,SamTheRiddler,0-1,False,False,1061,1161,r2q2k1/p4pbp/1p6/2P4Q/5P2/B1P1r1PN/P3B2n/RN2K3,40
MiloBot,Abjb,0-1,True,False,1085,1148,r1b1k2r/pp1n1ppp/8/P2p4/BPpp4/5Pn1/1P1K4/RNB3q1,40
MiloBot,shiore,0-1,True,False,1102,1189,2k1r1nr/ppp4p/2n2pp1/2bp2qb/P7/1PPK4/3p2PP/RNB2B1R,40
shiore,MiloBot,1-0,False,True,1158,1109,1r5r/p1p2p2/1pB3p1/3P1p1p/8/P3kP2/1P2N1PP/2R1K1NR,40
KingChessLover,MiloBot,0-1,False,True,1012,1088,3r4/1kp1nQ2/2n1N1pr/pp1pP3/8/2P1PB2/PP3P1P/RNB1K1R1,40
Abjb,MiloBot,0-1,False,True,1159,1053,7r/1p2k1b1/1r3pp1/p1pB2B1/3P3p/2N5/PPP1QPPP/4R1K1,40
Abjb,MiloBot,0-1,False,True,1171,1048,r1bk3r/pnp2p2/B2p2p1/3P2N1/5q1p/1Q3N2/PP3PPP/R3R1K1,40
MiloBot,Abjb,0-1,True,False,1054,1165,4rrk1/pp3ppp/8/2Q1Bq2/2B3b1/PP6/2P3PP/RN2KR2,40
MiloBot,Pipilotta,0-1,True,False,1061,1172,r2qr1k1/ppp2ppp/2n5/3b4/Pb2n3/4KN2/1p4PP/1Q3BNR,40
Pipilotta,MiloBot,1-0,False,True,1164,1067,2nk1br1/p1r2bpq/1p1p1p2/4p2p/PP2P2N/3B4/3B1PPP/1R1QK1NR,40
MiloBot,fleroyer,1/2-1/2,True,False,1065,1148,r1b3k1/ppp2pp1/1bnp3p/P2r4/1P6/R1P1pPPP/4P3/BN2KBR1,40
MiloBot,Abjb,1-0,True,False,1043,1181,r1b3k1/ppp2ppp/2n1qb2/P2p3n/3P4/2P5/1P1K3P/RNB5,40
Abjb,MiloBot,1-0,False,True,1175,1048,N3k2r/p7/b4B2/8/1p3b1p/PB6/1PQ2PPP/1K1R2NR,40
shiore,MiloBot,1-0,False,True,1128,1039,rnb2kr1/1pp2N2/p5p1/4Q2p/1P1P1p2/1B2P3/1P3PPP/2R2RK1,40
MiloBot,shiore,1-0,True,False,1028,1193,r2q1r2/ppp1n2k/1bn2p1p/3p1Pp1/1P4P1/P1P3BP/R2pBP2/3Q1KR1,40
MiloBot,Pipilotta,1/2-1/2,True,False,1027,1168,r1bqk1nr/ppp4p/8/P7/3p4/3P4/Rb2P1P1/1N1K1B2,40
MiloBot,Pipilotta,0-1,True,False,1029,1165,1rbqk2r/p2pb2p/5pp1/p5Q1/4B2P/PPp3P1/R1P1nP1K/1N3R2,40
Pipilotta,MiloBot,1/2-1/2,False,True,1170,1026,2b1k2r/3pnp1p/2pp2p1/r3q3/4PBP1/2P4P/PP4B1/RN1Q1RK1,40
MiloBot,Pipilotta,1/2-1/2,True,False,1038,1175,r2qk2r/pb2n1pp/2p2p2/3p4/pB3P2/5PPP/P1p1K1B1/2R1R3,40
MiloBot,Jacobcutie,1/2-1/2,True,False,1012,1194,r1b2b1r/1p2k2p/p2n1n2/6p1/4p3/P3P2P/1P3PP1/q1BK1B1R,40
MiloBot,Pipilotta,0-1,True,False,1004,1186,r1bq1rk1/pp2n1p1/1b2p2p/3p4/5p2/P1P3PB/2QN1PRP/2R1KN2,40
MiloBot,Pipilotta,0-1,True,False,1014,1179,1krn2nr/pp4pp/2q2p2/b2pP1N1/1P1P2bP/Q1P1P3/R2K2P1/2B2B1R,40
Matioon,MiloBot,1-0,False,True,1086,1033,2b1kbr1/p1P1p3/5n1p/1pp1Bp2/8/P4N2/1PP2PPP/R2K3R,40
MiloBot,Matioon,0-1,True,False,1041,1062,r2q1r1k/1p3p1p/p1n2n2/3p3b/P2P4/1P1QPP2/4K2P/1RB2BR1,40
Matioon,MiloBot,1-0,False,True,1034,1049,1r3br1/1q1bnk2/1p1R2pp/p1p1Q1B1/4P3/2N5/PPP2PPP/R5K1,40
Matioon,MiloBot,1-0,False,True,1033,1048,4kb1r/1b1pnpp1/1PpP4/8/7p/PNNB2P1/2P1QP1P/2B1K2R,40
MiloBot,Matioon,1-0,True,False,1039,1071,rnbq1k1r/3n4/4p1pp/2pp4/Pp1P1P2/1P2P2P/R2NQ3/1NB2K1R,40
Matioon,MiloBot,1-0,False,True,1030,1047,1nrB1k1r/2pp2p1/Bp6/4P2p/NP6/7P/P1P2P2/R2K3R,40
LUCASMAKEY,MiloBot,1-0,False,True,1085,1069,r1bkR3/pp1p4/2pP1p1B/5p2/2B4p/2P2N1P/P2N1PP1/4R1K1,40
Acevedomicaela,MiloBot,1-0,False,True,1088,1078,n3k1nr/r1q2p2/2p1b2p/p1Ppp1p1/6P1/P1PBPQ1P/3B1P2/2KR2NR,40
rybnikone,MiloBot,0-1,False,True,1042,1046,1n1r1b2/r3Nk2/pppq1B2/7Q/3P4/8/PPP1PP1P/R3KB2,40
ozmone,MiloBot,1-0,False,True,1107,1082,3q1b1r/1p2p1k1/n2PB1pp/7P/pPp5/P2PB3/2P2PP1/2KR3R,40
Pipilotta,MiloBot,1-0,False,True,1168,1102,3k1r2/2p1npbp/1pn1b1p1/4p3/1rP1P1P1/5N1P/P2B1P2/RN4RK,40
MiloBot,Pipilotta,0-1,True,False,1082,1157,1k1r1b1Q/1pp4p/p2q1N2/5B2/3p4/1PP3P1/P2BPP1P/RN2K2b,40
