White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
GMKosteniuk(GM),GMAGoryachkina(GM),1/2-1/2,False,False,2474,2593,7r/p1r1kp1p/Bp1bpp2/2q5/5P2/2PQ4/PP4PP/3R1R1K,40
GMZhongyiTan(GM),GMAnnaMuzychuk(GM),1/2-1/2,False,False,2510,2535,3r2k1/pb2qpp1/1pnR3p/1Q6/5R2/4PN2/P3BPPP/6K1,40
GMAGoryachkina(GM),GMKosteniuk(GM),0-1,False,False,2593,2474,3q1rk1/1p2b1pp/2pr1p2/nb2p3/pP1P3P/P1Q1PNP1/2RN1PB1/4R1K1,40
GMKosteniuk(GM),GMZhongyiTan(GM),1-0,False,False,2474,2510,1r3rk1/4bpp1/pNp2n2/P2p1b1p/1qPB4/5B1P/1P3PP1/2RQ1RK1,40
GMAGoryachkina(GM),GMAnnaMuzychuk(GM),1-0,False,False,2593,2535,r2r2k1/pR2p1bp/4p1p1/8/P1qNP3/4BP2/6PP/3Q1RK1,40
GMZhongyiTan(GM),GMKosteniuk(GM),1/2-1/2,False,False,2510,2474,r6r/3kb1np/p1p1npp1/1pPpp3/1P1P3P/4BPP1/1P1KNP2/R4B1R,40
GMAnnaMuzychuk(GM),GMAGoryachkina(GM),1/2-1/2,False,False,2535,2593,5rk1/1B3ppp/1b1p4/pP6/P3PP2/3nB3/2r2P1P/R4RK1,40
GMDzagnidze(GM),GMAnnaMuzychuk(GM),0-1,False,False,2524,2535,r2r2k1/ppnqb1pp/5p2/4p3/1P2P3/2N1NPPb/3PB2P/1RQ1K2R,40
GMAnnaMuzychuk(GM),GMDzagnidze(GM),1-0,False,False,2535,2524,r1r3k1/1b2ppb1/p2p2q1/1p3N2/4P3/1PN4Q/1PP3P1/2KR3R,40
GMAnnaMuzychuk(GM),GMDzagnidze(GM),1/2-1/2,False,False,2535,2524,r1b2rk1/4b1pp/p1pppn2/4q3/4PB2/1RN5/P1PQB1PP/5RK1,40
GMGunina(GM),GMKosteniuk(GM),0-1,False,False,2427,2474,b6r/2p1k3/1bn3qp/1pPBppp1/4N3/6B1/1P3PPP/3Q1RK1,40
GMLagno(GM),GMZhongyiTan(GM),0-1,False,False,2546,2510,2kr3r/pp3p2/2n3n1/3p2Np/3N2b1/2P3P1/PP3PB1/R3R1K1,40
IMDSaduakassova(IM),GMAGoryachkina(GM),0-1,False,False,2500,2593,r5k1/p5pp/q1p2p2/5p2/Pn1P4/1Q3PB1/1P2r1PP/2R2RK1,40
yoyoman,xandor,1/2-1/2,False,False,2444,2585,4r1kr/pp1qbbpp/1np1NB2/5P2/3P4/2PQ2N1/PP2R1PP/4R1K1,40
xandor,yoyoman,1-0,False,False,2564,2462,r4rk1/pp1bq3/3p1n1p/2pPnpb1/2P1pN2/2N2PPP/PPQBB2K/4RR2,40
GMDzagnidze(GM),GMAnnaMuzychuk(GM),1/2-1/2,False,False,2524,2535,2r2rk1/p3bppp/1p6/1R6/P7/3nBN2/1P3PPP/R5K1,40
GMKosteniuk(GM),GMGunina(GM),1-0,False,False,2474,2427,r2r2k1/2q3pp/b2bp3/pp2N2n/3P1p1P/1Q3P2/PPP1B1PB/R4RK1,40
GMZhongyiTan(GM),GMLagno(GM),1/2-1/2,False,False,2510,2546,r1r3k1/pp1qppbp/6p1/3P4/1B2P3/4Q2P/P4PP1/1R1R2K1,40
GMAGoryachkina(GM),IMDSaduakassova(IM),1/2-1/2,False,False,2593,2500,r4rk1/pp4pp/4ppb1/1P2n3/1P3P2/4P3/3NB1PP/R4RK1,40
IMDSaduakassova(IM),IMKashlinskaya(IM),1-0,False,False,2500,2494,r2q1nk1/1b4pp/p4r2/P2Pp3/NB1bPpB1/8/1P3PPP/R2Q1RK1,40
IMPolinaShuvalova(IM),GMDzagnidze(GM),1/2-1/2,False,False,2476,2524,r2r2k1/1b3ppp/pp6/2bNp3/P7/1B4P1/1PPN1P1P/3RR1K1,40
IMKashlinskaya(IM),IMDSaduakassova(IM),0-1,False,False,2494,2500,r4rk1/pp2n1pp/4b3/1P1p4/2nN1p2/P1B1P3/5PPP/R2BK2R,40
GMDzagnidze(GM),IMPolinaShuvalova(IM),1-0,False,False,2524,2476,5rk1/4q1pp/1r1bbp2/pBpp4/P3n3/1PB1PN1P/4QPP1/2RR2K1,40
IMKashlinskaya(IM),IMDSaduakassova(IM),1-0,False,False,2494,2500,2rr2k1/pp2qpp1/2n4p/2P1p3/1PQpP3/P2B4/5PPP/2R2RK1,40
IMPolinaShuvalova(IM),GMDzagnidze(GM),1-0,False,False,2476,2524,3q1rk1/1b3ppp/3pn3/1N2p3/2Q1P3/6P1/1PPR1PKP/2R5,40
GMStefanova(GM),GMAGoryachkina(GM),0-1,False,False,2470,2593,r4rk1/1pnqp1bp/2p3p1/4Pp2/p1bP1P2/B1P3P1/P2N2BP/R2RQ1K1,40
IMDSaduakassova(IM),IMKashlinskaya(IM),0-1,False,False,2500,2494,3r1rk1/pp3p1b/2n2n1p/6P1/4pN2/4N1P1/PP2PPB1/R2R2K1,40
GMDzagnidze(GM),IMPolinaShuvalova(IM),1-0,False,False,2524,2476,r1r3k1/3b1ppp/2p5/p7/4nB2/1N3P2/PP4PP/R1R3K1,40
GMAGoryachkina(GM),GMStefanova(GM),1-0,False,False,2593,2470,2r2rk1/4qn1p/bppbp3/p2p1p2/P1PP1PpP/1P4P1/1BRN1PB1/2RQ2K1,40
IMKashlinskaya(IM),IMDSaduakassova(IM),1/2-1/2,False,False,2494,2500,1r1q1rk1/Q3bppp/1p1p2n1/2pR2P1/8/8/PP2PPBP/R1B3K1,40
GMZhongyiTan(GM),IMKhademalsharieh(IM),1-0,False,False,2510,2494,2rqn1k1/3b2pp/2p2p2/p1Rp4/Pr6/1PQ1P1P1/3N1PBP/R5K1,40
GMNBatsiashvili(GM),GMGunina(GM),0-1,False,False,2491,2427,r5k1/pp1qrp1p/2p2np1/3n1p2/3P4/PB2P1P1/1P2RPQP/2BR2K1,40
GMDzagnidze(GM),IMPolinaShuvalova(IM),1-0,False,False,2524,2476,r3r1k1/1p1bb3/1n2p2p/4Pp2/p1Pp3P/P5P1/1P2QPB1/3R1NK1,40
IMPaehtz(IM),GMAnnaMuzychuk(GM),0-1,False,False,2467,2535,4rrk1/1pp3pp/p2p3n/3Pp3/q6P/2P3P1/PP2QPK1/2NR1R2,40
