White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
RasingWaves,ImBeliever,1-0,False,False,1864,1855,3r1rk1/2p2pp1/pp5p/3nP3/5P2/4B3/PP3P1P/3RRK2,40
ImBeliever,RasingWaves,1-0,False,False,1846,1873,r3k3/p1pQn3/1p1p1p1r/4p2p/4P2N/8/PPPR1PPP/3R2K1,40
RasingWaves,ImBeliever,1/2-1/2,False,False,1874,1845,2kr4/ppp3p1/6pn/nP6/3PP3/N1P1b3/PB4PP/3R3K,40
TAJUDIN,Socalblue,1-0,False,False,1905,1819,r1bkr3/p1n3pp/3b1q2/1P1p4/B2P1P2/P2Q4/1P1B2PP/R4RK1,40
Cofrancesco,pertinent,0-1,False,False,1805,1806,2r2rk1/4B1pp/p1p1bq2/1p3p2/B1P1p3/P7/1P2QPPP/2RR2K1,40
ImBeliever,RasingWaves,1-0,False,False,1836,1883,r2r4/p2pk1pp/1pp2b2/4p3/4P3/P1N2KPP/1PPR1P2/3R4,40
jejudoug,rargos,1-0,False,False,1980,1810,2bk1r2/1rNPnpp1/p6p/1pR5/8/4PN2/P1P2PPP/3RK3,40
Socalblue,TAJUDIN,0-1,False,False,1825,1899,r1q1k2r/3bb3/p2ppnnp/1pP2pp1/8/PB1NP1BP/1PPNQPP1/2K1R2R,40
VictoriaBot,venugopal,1-0,True,False,1896,1867,1r3rk1/5pbp/1q1pp1p1/1bp3N1/1p2P1n1/1P1PB2P/R1PQNPP1/5RK1,40
bibleman,fjgold,1-0,False,False,1950,1840,rr3Q1k/ppp1B1pp/2qpB1b1/2b4n/7Q/2N5/PP3PPP/3RR1K1,40
meroramadan,janjilo,1-0,False,False,1892,1856,r4r2/1p1b2kp/p2qppp1/n2p1n2/P2P4/2PN1N1P/1PBQ1PP1/R3R1K1,40
hastrman,janjilo,1-0,True,False,1973,1862,r6r/3k4/pppbpqpp/5n2/3PR3/3Q4/PPP1BPPP/R1B3K1,40
LordSunnex,HowardChess,1-0,False,False,1832,1885,r4rk1/1bqn4/1p2p2p/pP1p1pp1/P1pPn3/2P1PNP1/1Q1N1PBP/R2R2K1,40
janjilo,hastrman,0-1,False,True,1868,1967,1k4r1/ppp2p1p/3r1p2/P2pnb2/1P3N2/2P1KPP1/3N2BP/R1R5,40
ImBeliever,LordSunnex,0-1,False,False,1845,1823,r4rk1/pbqn1pbp/1p2p1p1/4P3/2PB4/1P1QRN1P/P2N2P1/5RK1,40
LordSunnex,ImBeliever,1-0,False,False,1814,1854,r2q1rk1/1p6/p1pbp2p/5pp1/1PnPb3/P3PNP1/5PBP/R1BQ1RK1,40
ImBeliever,LordSunnex,0-1,False,False,1863,1805,r1b2rk1/p3pp1p/1p1p1np1/1N2n3/1P2P3/7P/P2NB1P1/4RRK1,40
meroramadan,janjilo,0-1,False,False,1901,1859,2kr3r/pp4p1/2n2pb1/4p1p1/1b1pN2P/3P1PB1/PPP1B3/2KR3R,40
LordSunnex,GrandMonster,0-1,False,False,1812,1845,2r2rk1/pp3ppp/4p3/3p4/2q5/Pn2b1PP/RP2P1B1/1N1Q1R1K,40
pertinent,bibleman,0-1,False,False,1801,1941,2k2b1r/ppp1q3/7p/3rp3/3n2p1/8/PP1N1PPP/R2Q1RK1,40
fjgold,GrandMonster,0-1,False,False,1859,1815,3r1rk1/p4pp1/1b3q1p/4n3/4B3/8/PPQ2PPP/R4RK1,40
KevinHII,LordSunnex,0-1,False,False,1854,1803,r4rk1/1bq1ppbp/6p1/ppn1P3/3B2P1/2P2N1P/PPQN4/1K1R1R2,40
hejkal,manous,1-0,True,False,1857,1805,3r1rk1/p2R3p/bp2n1p1/n1pBNp2/2P5/2P1B3/P4PPP/3R2K1,40
manous,pertinent,1/2-1/2,False,False,1805,1801,3r1rk1/pp1n2pp/1b6/2p1p3/4P3/2NR1N2/PPP3PP/3R3K,40
scalaQueen,janjilo,0-1,True,False,1967,1848,4r2r/ppbk2p1/2p1pp1p/2P5/3P1P2/3N4/PP4PP/4RRK1,40
LordSunnex,KevinHII,0-1,False,False,1810,1847,r4rk1/1pq3pp/p1p1p3/P1Pp3b/3Pp1N1/4P1P1/1PQ2P1P/R3RBK1,40
KevinHII,LordSunnex,1/2-1/2,False,False,1848,1809,r4rk1/1b1n1pbp/p5p1/3Bp3/6P1/4BN1P/PP1N3K/R4R2,40
meroramadan,ANTONIOPAPICHULO,1-0,False,False,1895,1815,3k2r1/1pp4p/p2p2pn/3Pp1R1/2B1Pp1P/2P2P2/PP3P2/2K3R1,40
Gschach,scalaQueen,1-0,False,True,1939,1976,r4rk1/p1pbn1pp/1p3q2/3Ppp2/1PP1pP2/PN2P3/3QB1PP/3R1RK1,40
LordSunnex,KevinHII,0-1,False,False,1816,1841,r4rk1/3b2pp/3qpn2/pp1pNp2/3P4/PpP1P1P1/4QPBP/RR4K1,40
meroramadan,janjilo,0-1,False,False,1904,1839,r3r3/2p2kp1/pqp2nbp/4R3/8/1PP1BQNP/P4PP1/R5K1,40
SherlockHolmes,rojmedi,1-0,False,False,1956,1857,2kr3r/2pbq2p/2np1pp1/pB1Q4/Pp2PP2/2P1B3/1PN3PP/4RRK1,40
rojmedi,antvrs,1-0,False,False,1848,1890,r1q3k1/pp1b1pp1/5n1p/2b1r3/8/1B3NNP/PP4P1/R2Q1R1K,40
fjgold,manous,1-0,False,False,1856,1831,r4rk1/2qn1p1n/2p3Pp/1p1pp2N/3b3B/1P1P1B2/2P2PPP/1R1Q1RK1,40
TAJUDIN,ScottDH,1-0,False,False,1892,1828,r2qk2r/1p3pp1/p1n5/3pPpP1/2pP3p/2P4P/PP1B2PN/R3R1K1,40
meroramadan,MNbg,0-1,False,False,1914,1812,2r2r1k/2p3p1/p6p/1p2pp2/8/3B2P1/PPP3KP/3R3R,40
ScottDH,TAJUDIN,0-1,False,False,1838,1885,r2q1rk1/1R1b1pbn/p2p2np/2pPp1p1/2P1P3/2N1B3/PQ2BPPP/NR4K1,40
noory,Gilgri,0-1,False,False,1839,1951,r4rk1/5p1p/p2ppbpB/1p1b4/1PqN4/P1P4Q/5PPP/2R1R1K1,40
Gilgri,noory,1-0,False,False,1944,1845,r4br1/pkpR2p1/1p3p1p/1P6/P1P5/4B1P1/5P1P/1R4K1,40
KevinHII,LordSunnex,0-1,False,False,1849,1807,r4rk1/p4p1p/bppp2p1/4nP2/3qP1P1/3B3P/PPNKQ3/R1B5,40
LordSunnex,KevinHII,0-1,False,False,1814,1842,r4rk1/p1b3p1/1p2pq1p/2np1p1b/2P5/P3PNP1/1PQ2PBP/R1B2RK1,40
noory,Gilgri,1-0,False,False,1834,1958,r1b2rk1/4bppp/pq2p3/1p4N1/1Pn2B2/P2Q1N2/2P2PPP/1R1R2K1,40
Gilgri,noory,1-0,False,False,1951,1840,r4rk1/1p4p1/1qp1p2p/p2n1n2/P3N3/2PP2B1/1PQ2PPP/R4R1K,40
janjilo,scalaQueen,1-0,False,True,1828,1987,r2qr1k1/2pb1pp1/ppn4p/3p4/P2PBP1N/B1PQ2P1/7P/R3R1K1,40
Socalblue,Aromas,0-1,False,False,1813,1995,1k1rb2r/pp2qp2/4pn1p/PP1pN3/3P2p1/4P1P1/2B2PP1/RQ2K2R,40
KevinHII,LordSunnex,0-1,False,False,1851,1805,r1b2r2/ppq2pkp/2p3p1/4N2n/4P3/2R3PP/P2N2QK/5R2,40
LordSunnex,Aromas,0-1,False,False,1811,1991,r1b2rk1/1p3ppp/p7/2P5/8/P1N2P2/2P4P/RN3K2,40
terza,AureaMediocritas,1-0,False,False,1901,1925,r4r2/bpp2kpQ/2b4p/p3p1q1/P3Np2/5P2/1PB1N1PP/R4R1K,40
hastrman,janjilo,1-0,True,False,1940,1834,r3k2r/1p2ppb1/pN4pp/n1p1q3/2P1P2P/1P2BP1B/P3QP2/2KR2R1,40
manous,LordSunnex,1-0,False,False,1831,1819,2r2rk1/4bp1p/pn2p1p1/1p1pN1q1/3P4/1PPQ1NPP/P4P2/4RRK1,40
hastrman,Mekk,1-0,True,False,1933,1906,r4rk1/3N1ppp/pq2p3/3pQ3/2B5/8/PP3PPP/R5K1,40
HowardChess,terza,0-1,False,False,1893,1893,rq3r1k/p2R2pp/1p3p2/4bn2/4N3/P5BP/1PQ2PP1/5RK1,40
emranhamid,Aromas,0-1,False,False,1971,1994,3r2k1/1b3ppp/p3p3/P1rp4/8/2P5/1P2NPPP/R2R2K1,40
LordSunnex,JMarGa,0-1,False,False,1824,1940,2r3k1/ppr1bpp1/4p2p/1p1pN3/nP1P4/P1PbP1P1/R4PBP/B1R3K1,40
mjrc,manous,1/2-1/2,False,False,1851,1830,2r3k1/1pp1rpp1/p1np3p/8/4P3/1PP1BP1P/1P1RK1P1/3R4,40
