White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
ManOOwar,GriffyJr,0-1,False,True,2104,2047,r4r2/pp4pp/3ppk2/2p1n3/3pP1P1/PP1P1P2/2P2NP1/R4RK1,40
GriffyJr,ManOOwar,1-0,True,False,2037,2114,1nb3k1/p2nqp2/1p2p1p1/3pP2p/5P1Q/4PNPB/PP1B3P/6K1,40
ManOOwar,GriffyJr,0-1,False,True,2124,2027,r4rk1/1p1b2pp/2nbp3/p2p1p1q/P1PP4/3BPN1P/1B3PP1/R2Q1RK1,40
GriffyJr,ManOOwar,1/2-1/2,True,False,2025,2126,4r1k1/pb2qppp/1p2p3/3p3Q/3P4/1P2P1P1/P4PBP/2R3K1,40
ManOOwar,GriffyJr,0-1,False,True,2136,2060,5rk1/2p1bppp/4pn2/2P1N3/3P4/2N1Pb2/1B3P1P/R5K1,40
GriffyJr,ManOOwar,1-0,True,False,2050,2146,rn1r1k2/1q3pp1/2p1bb1N/3p4/pp1P1QPP/3BP3/PP2NP2/2KR3R,40
GriffySr,loomba,1-0,True,False,2133,2013,r1b1r1k1/ppqn2bp/2pB2p1/4p3/4P3/5N2/PPQ1BPPP/3R1RK1,40
kunde,Indrayoga,1-0,False,False,2049,2167,1nb2rk1/r5q1/1p1p4/pPpPp1bp/P3Ppp1/3P1PP1/3B1RBP/2RQ2NK,40
ManOOwar,GriffyJr,1-0,False,True,2139,2098,r4r1k/np1q2pp/2p1pn2/pPP2p2/P1Q5/4PN1P/1B3PP1/R4RK1,40
GriffyJr,ManOOwar,0-1,True,False,2105,2132,2r3k1/pb2bp1p/1p2p1p1/3pB3/1P1P2Q1/P3P1P1/2q2PBP/3R2K1,40
ManOOwar,GriffyJr,0-1,False,True,2141,2096,1r4k1/2q2ppp/1rn1p3/3p4/P2P2n1/2Q1PN2/3N1PPP/R1R3K1,40
kunde,Indrayoga,0-1,False,False,2031,2157,3rr1k1/ppp2pp1/7p/1q1B4/3p4/PP1P4/2PQ1PPP/4RRK1,40
Indrayoga,kunde,1-0,False,False,2152,2036,r2q1rk1/pp2N1bp/2pp4/8/7Q/8/P1P2PPP/1R3RK1,40
