White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
Knightsmasher,ynode,0-1,True,True,2266,2358,2rqkb2/1p3p1b/p2pp2r/4n2B/3N1N2/6Q1/PPP2PPP/1K1R3R,40
ynode,Knightsmasher,1/2-1/2,True,True,2362,2264,r1b1kb1r/6pp/p1q2n2/1p2Q1N1/2p1P3/2N1B3/P1B2PPP/3R2K1,40
Knightsmasher,ynode,1/2-1/2,True,True,2262,2366,2r2rk1/pb1qp2p/3P1ppQ/3N4/4P3/8/P4PPP/2RR2K1,40
feligres,foggydew,1-0,True,True,2392,2217,r4rk1/pp3pp1/6q1/3P4/4b3/6Q1/PP3R1P/RNB3K1,40
ynode,Knightsmasher,1/2-1/2,True,True,2370,2260,1n3rk1/r4ppp/1p1q1n2/pB1pNb2/Q1pP4/4PPBP/PP4P1/2R2RK1,40
Knightsmasher,ynode,0-1,True,True,2266,2359,2r1r1k1/1p4b1/pQ2b1q1/4pp2/1B5p/2P2P2/PP2N1PP/R4RK1,40
ynode,Knightsmasher,1-0,True,True,2347,2272,r2n1r1k/p2bn1p1/1p1p1pPp/2pP1P2/2P5/2P4P/qBBN4/1R1QR1K1,40
Knightsmasher,ynode,0-1,True,True,2279,2334,r3Q1k1/1pq2pp1/p1n4p/5P2/8/1P6/PP4PP/R1B1R1K1,40
ynode,Knightsmasher,0-1,True,True,2354,2269,3r2k1/p1p2ppp/1pb2q2/3p4/3Pn3/1Q2PN2/PP1B1PKP/2RR4,40
ynode,Knightsmasher,1/2-1/2,True,True,2358,2267,r1rn2k1/p1N1bppp/4p3/3p4/1p1P1B2/4P3/PP1K1PPP/2R2R2,40
kamenozrout,feligres,0-1,True,True,2202,2380,r1b2rk1/p4ppp/1p1b4/3p1q2/5N2/1P3P2/PR1Q2PP/2B2RK1,40
feligres,kamenozrout,1-0,True,True,2376,2206,r3k2r/pp2ppb1/2p1b1pp/1Q1pP3/3P1PP1/1B3N1P/R1P5/3KB2R,40
Knightsmasher,ynode,1-0,True,True,2256,2382,rq4k1/2bn1ppp/b3pn2/8/2N5/1P2PN2/1Q2BPPP/2BR2K1,40
kamenozrout,feligres,0-1,True,True,2204,2366,r5k1/5ppp/4p3/q2p4/p1nP2Q1/PrN4P/RP3PP1/1R4K1,40
feligres,kamenozrout,1-0,True,True,2361,2209,2qr2k1/1r1b1pp1/p3p2p/1PbnB3/4N3/3B1P2/1PP1Q1PP/1K1RR3,40
feligres,kamenozrout,1-0,True,True,2356,2213,r2r2k1/pp3ppp/8/q2NB1P1/2P3BP/4P3/1Q6/1K1R4,40
BlindfoldMaster,MortimerBlackwell,0-1,False,True,2253,2263,5b1r/1b3kp1/p6p/P3pp2/8/3P2N1/1Pr2PPP/R1B1K2R,40
MortimerBlackwell,BlindfoldMaster,1-0,True,False,2254,2261,r4r2/4bpk1/3p1npp/p1N1p3/1pB1P1PP/1P2BP2/1PPR4/2KR4,40
foggydew,feligres,0-1,True,True,2207,2334,2r1kb1r/2q2pp1/4b2p/1p6/n7/1NpP1NP1/2Q1PPBP/R4RK1,40
feligres,konozrout,1-0,True,True,2329,2200,1rb1Q1k1/pppp1r1p/5Rp1/8/8/2PqP1K1/P2P3P/R1B5,40
konozrout,feligres,0-1,True,True,2218,2323,2br4/4kppp/p4nq1/8/4p3/BPN3PP/P2PPPB1/R3K2R,40
BlindfoldMaster,Knightsmasher,0-1,False,True,2239,2288,4kb1r/pp3ppp/4p3/nQr5/6P1/PpP1P3/5PP1/R1B1R1K1,40
Knightsmasher,feligres,1-0,True,True,2279,2332,r4rk1/2pp2n1/pp1bp1q1/6N1/2PP2Q1/4B3/PPn1NP1P/2R3RK,40
feligres,Knightsmasher,0-1,True,True,2342,2269,r1b2rk1/p2pNpbp/8/5p2/1PB5/3Q4/P4qPP/1R1KR3,40
feligres,konozrout,1-0,True,True,2337,2223,r3r1k1/pp1n1ppp/5n2/2P1p3/N7/R3B2q/3PBP1P/3Q1RK1,40
konozrout,feligres,0-1,True,True,2229,2331,2q2rk1/p5pp/2npp3/3b1p2/3Pn3/P3PN2/1BQ1BPPP/5RK1,40
limaslimas,konozrout,1-0,False,True,2307,2238,2bqk3/r3b3/pnpp4/4p3/4P1p1/1BN1B3/PPP1QP2/2K4R,40
konozrout,feligres,0-1,True,True,2242,2325,1r2r1k1/pb1n1pbp/3p2p1/1Np5/4P3/3B1N1P/P3RPP1/2R3K1,40
feligres,konozrout,0-1,True,True,2335,2232,2r4r/1ppk1p2/p2pb2p/P3b1q1/2B1P1P1/4NR1P/1PPQ4/3R2K1,40
konozrout,feligres,0-1,True,True,2238,2329,r2r2k1/pp2ppb1/5npp/n7/8/2PRPPPN/PB2B2P/R5K1,40
ulfish,feligres,1-0,True,True,2328,2337,1nkr3r/p4pp1/1qp1pb1p/1p6/3PB3/2P2QBP/RP4P1/R5K1,40
konozrout,feligres,0-1,True,True,2242,2331,r4bk1/pp3q1p/2p2Qp1/5pB1/4r3/6P1/PP1RPP1P/5RK1,40
feligres,konozrout,1-0,True,True,2325,2248,6k1/pp2qpp1/2n1rB1p/8/3p1Q2/P2B4/1PP2PPP/R4K2,40
kamenozrout,feligres,0-1,True,True,2203,2309,rr4k1/5p1p/3p2p1/2pPb3/2q1R3/P1N3P1/1P3PKP/2RQ4,40
limaslimas,Knightsmasher,1-0,False,True,2292,2269,r4rk1/2q2ppp/p2p1b2/n1nPp3/P1p1P1QP/1pP1B1P1/1P2BP2/RN2R1K1,40
limaslimas,MortimerBlackwell,1/2-1/2,False,True,2292,2296,2r3k1/p3p1b1/1p3np1/3bN3/8/4B3/P3BPPP/3R2K1,40
Knightsmasher,limaslimas,0-1,True,False,2277,2284,8/p1p2kpp/2p3b1/8/8/1PP1R1P1/PK2P2P/R1Br1r2,40
limaslimas,MortimerBlackwell,1-0,False,True,2275,2308,r2r2k1/4ppbp/p1N1n1p1/3pP3/P2Nb3/4B2P/1q3PP1/R2QR1K1,40
Knightsmasher,limaslimas,0-1,True,False,2285,2267,8/p1p2k1p/2p3p1/4Rb2/2P5/1P4P1/PK2P2P/R1Br1r2,40
limaslimas,Knightsmasher,1/2-1/2,False,True,2267,2285,r2r2k1/2p2p1p/1p2pP2/p7/4N3/bR4P1/P3PPKP/R7,40
Knightsmasher,limaslimas,0-1,True,False,2294,2258,r6r/pp3kp1/2p2bpp/8/3PR3/2B5/PP3PPP/R5K1,40
foggydew,limaslimas,0-1,True,False,2207,2251,2b1r1k1/1pq2p2/5r2/4n2p/4B3/1QP3P1/P3PP1P/R4RK1,40
limaslimas,MortimerBlackwell,1-0,False,True,2246,2339,5rk1/pp5p/q5pb/3Pp3/2n1P1P1/6N1/P4BPP/R3Q2K,40
MortimerBlackwell,limaslimas,1-0,True,False,2328,2252,1r2r1k1/p4pp1/2p2n1p/2qp4/Q2P4/2N5/PP3PPP/R3R1K1,40
limaslimas,MortimerBlackwell,1-0,False,True,2242,2347,r1q1r1k1/4p2p/2p2bp1/p1PpBb2/PP6/2P2N1P/3Q1PP1/R3R1K1,40
MortimerBlackwell,limaslimas,0-1,True,False,2368,2231,1r1q1r2/p4pkp/2b1pp2/1p1n4/3P3N/2PB4/P2Q1PPP/1RR3K1,40
limaslimas,MortimerBlackwell,1/2-1/2,False,True,2228,2374,3r1rk1/p3p1bp/1pbp1np1/1N3q2/PPP2P2/4B2P/3QB1P1/2R1R1K1,40
Knightsmasher,limaslimas,0-1,True,False,2300,2218,r3r1k1/2pqbb1p/p5p1/1p1pQ3/5B2/1BP5/PP3PPP/R3R1K1,40
limaslimas,Knightsmasher,0-1,False,True,2224,2294,r1r3k1/2q2ppp/p2b1n2/3pp3/Pp4P1/1B1Q1P2/1PPN3P/1K1RR3,40
kamenozrout,limaslimas,0-1,True,False,2208,2216,r1b2Bk1/1p3ppp/8/1N6/P1p2P2/7N/2n3PP/b4RK1,40
limaslimas,foggydew,1-0,False,True,2208,2214,rnb3k1/p3bppp/1pp1P3/5P2/2Pr4/2N2BP1/PP2Q2P/5RK1,40
feligres,Knightsmasher,0-1,True,True,2321,2298,r4r1k/p4Ppp/1p6/2pP4/8/2P2P2/P4P1P/R4R1K,40
Knightsmasher,feligres,1-0,True,True,2289,2330,2r2rk1/4bp1p/pq1p1p2/4p3/4P3/1P1Q4/P3NPPP/R2R2K1,40
Maras(FM),BIONCHESS,1/2-1/2,False,False,2203,2293,2r5/Bb3kpp/8/4p3/4p3/2Pr2P1/P4P1P/R2R2K1,40
iaquinuchess,Knightsmasher,1-0,False,True,2399,2306,3r4/pk1prp1p/2p3p1/2Np4/8/1P4P1/P4PBP/2R2K2,40
feligres,Knightsmasher,0-1,True,True,2346,2285,2b2rk1/3n1p1p/5bp1/3B4/2P2P2/8/rP2R1PP/2K1R1B1,40
pikozrout,feligres,0-1,True,True,2218,2341,r4rk1/3b2q1/ppp3pp/2p1p1Nn/4P2Q/3P3P/PPP1NPR1/1K5R,40
feligres,pikozrout,1-0,True,True,2335,2224,r3k2r/1pp1nppp/1p2b1q1/6N1/4PPP1/2PQB2P/P7/R2R2K1,40
pikozrout,feligres,0-1,True,True,2230,2329,2r3k1/5ppp/4q1b1/ppb5/4pQ2/2P3P1/PB1PPPBP/R5K1,40
