White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
Jorocco,edrobaza,1-0,False,False,1701,1709,2k3rr/ppp2p2/2n5/5B1p/8/P1P4N/2P2PP1/R3R1K1,40
LEOCADIOMORENOMAR,Jorocco,0-1,False,False,1720,1693,2k1r3/ppp3pp/5p2/nP2P2B/5P2/2P4b/P6P/4K1b1,40
richardmario,bunicul,1-0,False,False,1684,1669,r4rk1/pp1q1ppp/4b3/2ppPn1Q/3p1P2/P2P2BP/1PP3P1/R3RNK1,40
edrobaza,eliasroberto,0-1,False,False,1718,1676,r4b1r/pp2q1p1/1nk4p/1PN5/2Q1p3/3p4/PP3PPP/R1B2K1R,40
TheNorthernPike,TragicPrinceFer,1-0,False,False,1791,1780,rn2r3/pp2R3/2p1kB2/3pp2p/3b3Q/2N2b1P/PPP2P2/R3K3,40
bunicul,richardmario,0-1,False,False,1677,1676,r4rk1/1pp1n1p1/3p1q1p/4p3/PPNnPpQP/2BP4/5PP1/R4RK1,40
richardmario,bunicul,1-0,False,False,1685,1668,5rk1/p5pp/4ppn1/2p5/4P2P/N1PP2P1/PP3P2/R5K1,40
JustMicgo,edrobaza,1-0,False,False,1735,1726,r4rk1/p1p1nppp/3q4/2Np4/P2Pp3/4P2P/2Q1BPP1/R4RK1,40
gercole,richardmario,1-0,False,False,1759,1684,r4rk1/2p2pp1/p2p2n1/1p2p1P1/3PP1B1/2P1P3/P1P4R/2K4R,40
AlejandroMagnus,Amroth,1-0,False,False,1710,1751,3q1r2/2pbNpkp/p5p1/1p6/3Q4/8/PPP2PPP/3RR1K1,40
richardmario,gercole,0-1,False,False,1691,1752,2kr2r1/ppp1Np2/8/n2pp1qp/4P3/1QPP3P/PP4P1/6RK,40
gercole,richardmario,1-0,False,False,1745,1698,1r1k3r/2p1qp2/p2p1npp/np1PP3/3Q1B2/P1P5/B1P2P1P/2KR2R1,40
richardmario,gercole,0-1,False,False,1705,1738,r3k2r/pp2np2/3pq3/4p1Qp/P3PP2/2PP4/6P1/RNB2RK1,40
gercole,richardmario,1-0,False,False,1730,1713,r2r1k2/pp3pp1/2p2B1p/3P4/4nP2/1B5P/P1P2P2/2KRR3,40
richardmario,gercole,1-0,False,False,1704,1739,1k5r/2pr1pp1/1b1p3p/4q2n/P2PP3/B1P4P/5P1N/R2Q1RK1,40
edrobaza,JustMicgo,1-0,False,False,1717,1744,r1b2rk1/1p1n1pp1/p1p1p2B/4q3/1b4R1/2NB4/PP1Q1PP1/R5K1,40
AJSB,broosethemoose,0-1,False,False,1609,1680,r4rk1/p4ppp/4p3/q1pn4/2N2B2/P1P3P1/1P4QP/3RK2R,40
gercole,richardmario,0-1,False,False,1748,1695,r4rk1/5pp1/2pp3q/pp2p2n/P3P3/1BPPPQ1P/2P5/2K3RR,40
darele,edrobaza,1-0,False,False,1608,1727,r3r3/p1qn1p1k/1p2p1pp/4P2n/3RQ2N/2N4P/PP3PP1/4R1K1,40
richardmario,gercole,1/2-1/2,False,False,1694,1749,2kr3r/p1p1qp2/1p6/n1p1pN1p/Q3P1p1/2PP2P1/P2N1PP1/R4RK1,40
stocknok,crashoverriiide,0-1,False,False,1626,1665,r4rk1/1q3p1p/1p4pR/p3b1P1/P7/2P2P2/1PQ3P1/2KR4,40
madridmadrid,Amroth,0-1,False,False,1731,1743,r4rk1/p4ppp/2pbb3/1q2n3/PP2P3/2P1B1Pn/3NRP1N/R4Q1K,40
KURSAVKA,LuigiBot,1-0,False,True,1746,1685,3rk3/p2p3p/b1p1p3/2b2p2/2P2q2/PB4P1/1PQ2P1P/2R2RK1,40
gercole,richardmario,1-0,False,False,1742,1701,r5k1/ppp2p2/3p2n1/8/4P3/3P1q2/P2Q1P2/2K3RR,40
stocknok,JohanSt,1-0,False,False,1616,1683,r3qr2/1pp3bk/p3b2p/3pPp2/8/P1PBP3/1PQN1P2/2KR2R1,40
Mundt,LebronofChess,1/2-1/2,False,False,1692,1683,4rrk1/2pn1ppp/1p1p4/pP1R2N1/Pq6/2N4P/1BP1QPP1/2KR4,40
rusalka,ricardoflorez,0-1,True,False,1705,1777,r4rk1/5ppp/2p3q1/p1Q5/4p1b1/PP6/2P2PPP/1R3RK1,40
Amroth,mayan,1-0,False,False,1736,1690,r3k2r/pp3p1p/2p1pp2/7B/Pq6/7P/5PP1/R2QR1K1,40
JohanSt,perece,0-1,False,False,1693,1616,2krr3/pp3ppp/2pp4/8/N4nB1/P6P/1R3P2/5RK1,40
richardmario,brzjak,1-0,False,False,1693,1708,r7/1pp1bp1k/p1np1n1p/4pP2/4P2p/P1PPBRr1/1P1N3N/R2B3K,40
JohnnyNN,TheWespe,1-0,False,False,1724,1674,1Bb2rk1/5pp1/2B1pn1p/qP1p4/3P4/b1N1PN2/2Q2PPP/5RK1,40
carmelovita,Mundt,0-1,False,False,1643,1689,r5k1/p4p1p/1pn3p1/2rpq3/P3p3/1P2P2P/4QPP1/1NR2RK1,40
BeeDawg,LebronofChess,0-1,False,False,1784,1673,2kr3r/1pp5/n1qpp2p/6p1/N2Q1p2/PP3N1P/1KPR2P1/7R,40
richardmario,FyFazan,1/2-1/2,False,False,1706,1742,1r1q1rk1/2pbbppp/2np1n2/4p3/1P2P3/P2P1N1P/BQ1N1PP1/R1B1K2R,40
Mundt,carmelovita,1/2-1/2,False,False,1690,1642,r2r2k1/2p1qpp1/p7/1pnRp1b1/4P3/5N2/PPP1QP2/1K5R,40
richardmario,FyFazan,0-1,False,False,1721,1727,1r1q1rk1/2p1bpp1/2Np1n1p/4p3/1P2P3/P2PBb2/2Q2PPP/R4RK1,40
carmelovita,Mundt,0-1,False,False,1649,1683,r3k2r/5p2/p3p2p/1p1p2p1/1P6/P4P1P/2P2P2/2R1R1K1,40
BlitzThree,rahmanirrahim,0-1,False,False,1762,1720,3r1r1k/ppp1n1pp/8/2P2p2/1PB5/P1qp1N1P/5PP1/R2Q1RK1,40
richardmario,burlon,1-0,False,False,1722,1696,r2q1bk1/p5pp/8/1p2Q1N1/2p5/2Pb3P/PP4PN/R5K1,40
