White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
GMTregubov(GM),IMDominikHorvath(IM),0-1,False,False,2588,2449,r2r2k1/4bppp/2P1pn2/1qn5/3N4/1PQ1P3/1B3PPP/2R2RK1,40
GMAntipov(GM),IMRaymondSong(IM),1/2-1/2,False,False,2562,2478,r2r2k1/2qnbp1p/p3p1p1/1p2P3/3Q4/2N2RB1/PPP3PP/3R3K,40
GMNBatsiashvili(GM),GMSanal(GM),0-1,False,False,2456,2569,3q1rk1/rb2bppp/p2ppn2/P2n4/2NP4/1R1B3P/1P1NQPPB/2R3K1,40
GMRamirez(GM),IMRavi(IM),1/2-1/2,False,False,2574,2464,rr4k1/2Rb1ppp/p4n2/3pN3/3P4/nP2P3/P3BPPP/5RK1,40
IMDiBerardino(IM),GMKryakvin(GM),0-1,False,False,2478,2592,r3r1k1/p1q2pp1/2pn2p1/2Np4/3Q4/2P2P2/PP4PP/R3R1K1,40
GMJSantosLatasa(GM),GMRousselRoozmon(GM),1/2-1/2,False,False,2586,2473,3rrbk1/p1q2p1p/bpppnnp1/4p3/P2PP3/1PP1BNNP/2B2PP1/2QRR1K1,40
GMVaibhav(GM),IMRaunakSadhwani(IM),1/2-1/2,False,False,2593,2522,r4rk1/pp1n2p1/2p1pq2/8/2B5/2P3Q1/P2B1PPP/4R1K1,40
GMIdani(GM),IMPanjwani(IM),1/2-1/2,False,False,2577,2444,r3qr2/pppbnnk1/3p1p2/3Np1p1/3PP2p/2P2P1P/PPBQ1RP1/R4NK1,40
IMAtalik(IM),GMTregubov(GM),1/2-1/2,False,False,2450,2588,3r4/p5pp/1b2kp2/4p3/8/4B1P1/PP2PP1P/2R3K1,40
IMKrishna(IM),GMBaron(GM),0-1,False,False,2436,2529,1r1q1rk1/1bp3pp/p1nb4/1p2p3/8/1P1NP1P1/1B2QPBP/R1R3K1,40
IMPanjwani(IM),GMAnnaMuzychuk(GM),1-0,False,False,2444,2539,r1bq1rk1/p4ppp/2p1pn2/4B3/P7/3N2PP/2Q1PP2/R4RK1,40
GMNoelStuder(GM),GMKhotenashvili(GM),1-0,False,False,2546,2446,7r/r3kppp/1n1p4/pPp5/7P/5B1R/PP1K1PP1/2R5,40
IMRaymondSong(IM),GMRamirez(GM),1/2-1/2,False,False,2478,2574,5rk1/p6p/1ppqr1pN/2p2n2/8/3P3P/PPPQ2P1/4RRK1,40
GMPeralta(GM),IMValentinBuckels(IM),1-0,False,False,2574,2459,1r3rk1/p2p2pp/b1p1pb2/1PP1np1q/3N4/P1N1P1P1/2Q2PBP/1R1R2K1,40
GMStefanova(GM),GMIdani(GM),0-1,False,False,2469,2577,r2q1rk1/pR2ppBp/2np2p1/2nN4/2P1P3/7Q/P4PPP/3R1BK1,40
GMGagare(GM),GMKryakvin(GM),1/2-1/2,False,False,2481,2592,1r1qr1k1/p4pb1/2b2npp/n1p1p3/4P3/2PPNNP1/QB3PBP/1R1R2K1,40
IMHarshitRaja(IM),GMVaibhav(GM),0-1,False,False,2482,2593,3r2k1/p4ppp/1p2pn2/2P3B1/b7/1N4P1/R3PPBP/6K1,40
GMKryakvin(GM),IMGunayMammadzada(IM),1-0,False,False,2592,2455,1q3rk1/rb2bpp1/pp2pn1p/4N3/8/1P1BP2P/PBQ2PP1/2RR2K1,40
GMDiLi(GM),IMJohannesHaug(IM),1-0,False,False,2562,2407,1R4k1/5ppp/2b5/p1ppq3/8/P1P1PP2/3QB1PP/6K1,40
GMRamirez(GM),IMLeonLMendonca(IM),1/2-1/2,False,False,2574,2417,r3k3/3pbp1r/1pnq2p1/p1p2pP1/2P5/PP2Q3/1B1P1PB1/2KR2R1,40
IMKrishna(IM),GMPeralta(GM),1/2-1/2,False,False,2436,2574,2b2rk1/1pb1q1pp/r4n2/p1P1p3/P3Bp2/N5P1/1PQ1PP1P/2RRB1K1,40
GMIdani(GM),IMRaymondSong(IM),1/2-1/2,False,False,2577,2478,2r2rk1/3p1ppp/2bR1n2/pp2p3/4P3/P1N1RBP1/1PP2PKP/8,40
GMJSantosLatasa(GM),IMQuintiliano(IM),1-0,False,False,2586,2471,4rk2/1pqn1p2/p2p1npr/3P3p/1Q3R2/1N1B4/PPP3PP/2K2R2,40
IMNataliyaBuksa(IM),GMDGukesh(GM),0-1,False,False,2403,2542,1k1rr3/1pp1qpp1/p1n1bn1p/8/1bPP4/1PN1BP1P/P2QNKP1/1B1RR3,40
IMJohannesHaug(IM),GMIdani(GM),1/2-1/2,False,False,2407,2577,3rr1k1/1p1b1p1p/p5p1/q2p2P1/6nR/2N1P3/PP1QBPP1/R3K3,40
GMKadric(GM),IMKrishna(IM),1/2-1/2,False,False,2585,2436,r3br1k/ppq3p1/2Nbp2p/2pp4/5P2/2PP2PP/PP2Q1BK/R1B1R3,40
IMZAbdumalik(IM),GMVaibhav(GM),1-0,False,False,2471,2593,rr4k1/1q1nbpp1/n2p4/3Pp2p/P7/1PB3PP/5PB1/1RNQ1RK1,40
GMVaibhav(GM),IMNataliyaBuksa(IM),1/2-1/2,False,False,2593,2403,1r3rk1/p1q2pb1/b1p1n1pp/2p1p3/2N1P3/PNPPB2P/2Q2PP1/R3R1K1,40
IMMaxWarmerdam(IM),GMSmeets(GM),1-0,False,False,2498,2585,1Rr1kb1r/p3npp1/2p1p3/3pP2p/3N3P/3qBQ2/5PP1/1R4K1,40
IMDSaduakassova(IM),GMLucasVanForeest(GM),0-1,False,False,2519,2523,r3r1k1/p2p1p2/1pn2qp1/1N2b1B1/8/6P1/P2QPP1P/1R3RK1,40
IMMaxWarmerdam(IM),IMDSaduakassova(IM),1/2-1/2,False,False,2498,2519,r5k1/1p2q1b1/pn1p2pp/2p1n3/2P2rP1/NBN2P2/PP2Q1P1/3R1RK1,40
TagirSalemgareev,IMAndreyDrygalov(IM),0-1,False,False,2458,2492,2r1r1k1/1b1nqppp/p7/1p1p4/1b2n3/1PN1PNP1/PB3PBP/Q1R1R1K1,40
GMAGoryachkina(GM),GMWenjunJu(GM),1-0,False,False,2578,2584,r4rk1/1p1bb1pp/p3p3/3pB2q/P1pPp3/2P1PP1P/1P4PK/R2QNR2,40
IMAndreyDrygalov(IM),GMKorneev(GM),1-0,False,False,2492,2513,3r1r1k/1p2q1p1/p1p1pnnp/P1P1p3/1P1bP3/1Q3NNP/1B3PP1/1R2R1K1,40
IMMaxWarmerdam(IM),GMLucasVanForeest(GM),1/2-1/2,False,False,2498,2523,rnr3k1/p4ppp/2p1p3/q3R3/2PP4/BQ6/P4PPP/3R2K1,40
TagirSalemgareev,GMHarutjunyan(GM),1/2-1/2,False,False,2458,2444,3r1rk1/2p1qppp/1pn5/p2R4/2P5/P3P3/1Q2BPPP/1R4K1,40
GMKostenko(GM),GMBezgodov(GM),0-1,False,False,2433,2456,3r1rk1/pp5p/2p5/P3n1p1/5p2/1PP3bP/2B3P1/R1B2R1K,40
GMBezgodov(GM),TagirSalemgareev,0-1,False,False,2456,2458,5r1k/1p1q2pp/pb1p1r2/3Bp3/1PPn4/8/PB3PPP/R2Q1RK1,40
GMSmeets(GM),IMVincentKeymer(IM),0-1,False,False,2585,2527,2r2k1r/pp5p/4pN1b/4pp2/B2n4/5P2/PPP3PP/1K1R3R,40
GMAramHakobyan(GM),GMGabuzyan(GM),1-0,False,False,2582,2585,1r2n2r/1p1qkpb1/pBbpn1p1/4p3/PQN1P1P1/6N1/1PP2PB1/R2R2K1,40
GMHarutjunyan(GM),IMAndreyDrygalov(IM),1/2-1/2,False,False,2444,2492,3k3r/1R1nb3/p3ppQp/8/4p3/q1r5/P1P1B1PP/3R2K1,40
GMArmanMikaelyan(GM),GMAramHakobyan(GM),1-0,False,False,2476,2582,1rb2rk1/2qnp1bp/pp1n1pp1/2pP4/P1N1P3/2N3B1/1PQ1BPPP/3RR1K1,40
GMBezgodov(GM),GMHarutjunyan(GM),1-0,False,False,2456,2444,2kr3r/pp3pp1/1n2pb1p/1p2N2P/3P4/2P3P1/PPKB1P2/3R3R,40
IMAGutenev(IM),GMKostenko(GM),1-0,False,False,2457,2433,r2r2k1/3N1ppp/p3p3/3bB3/1q6/P7/5PPP/R2QR1K1,40
IMDSaduakassova(IM),IMVincentKeymer(IM),0-1,False,False,2519,2527,2rq1rk1/p2nb1pp/1p1np3/3p1p2/3P4/2BQ2P1/PP1NPPBP/R2R2K1,40
TagirSalemgareev,IMAGutenev(IM),1/2-1/2,False,False,2458,2457,r4rk1/1bq2ppp/np1p4/p2Pp3/2P5/2RP2P1/1P1N1PBP/1Q2R1K1,40
GMBezgodov(GM),IMAndreyDrygalov(IM),1/2-1/2,False,False,2456,2492,2r1k2r/1q1nbpp1/p3p2p/4P3/pP1N4/P2R4/2P1QBPP/1K5R,40
FMAArBarseghyan(FM),IMPlatonGalperin(IM),0-1,False,False,2408,2460,1r3rk1/4pp1p/3p2p1/nqpP4/4P3/1P4P1/1RQ2PBP/R5K1,40
IMStefanPogosyan(IM),IMArturDavtyan(IM),1/2-1/2,False,False,2477,2437,r1qr2k1/p4pp1/2b1n2p/1B1p4/8/2N1P3/P2Q1PPP/1RR3K1,40
GMSturua(GM),IMVMatviishen(IM),1-0,False,False,2530,2497,r2q1rk1/1b4pp/5p2/1p6/np1Pp3/1Nn1P1P1/2PN1PBP/R1Q1R1K1,40
GMAGoryachkina(GM),GMWenjunJu(GM),1-0,False,False,2578,2584,1k1r3r/ppq2p2/2p2n1p/2P3p1/3pP3/3B1PP1/PP1Q1P2/1KR4R,40
IMVMatviishen(IM),GMEALevin(GM),1/2-1/2,False,False,2497,2527,r2q1rk1/pb4pp/1p1bpp2/8/2P1p3/1PB1Q1P1/P3PPBP/2R2RK1,40
IMArturDavtyan(IM),GMSturua(GM),1-0,False,False,2437,2530,r5k1/pb3ppp/2p1p3/3nN3/2N5/6P1/PP2PP1P/3R2K1,40
IMShahinyan(IM),IMStefanPogosyan(IM),1-0,False,False,2444,2477,3r1k1r/p1pq1pp1/1pn2n1p/5P2/2P2RP1/P2P3P/1B2Q1B1/R5K1,40
IMPlatonGalperin(IM),GMHayrapetyan(GM),0-1,False,False,2460,2458,2r1r1k1/pp3ppp/8/2bRN3/5P2/8/PPP2P1P/2KR4,40
RenjiHuang,ShixuBWang,1-0,False,False,2416,2469,2k1bb1r/2p3p1/1pp1P1pp/p7/6P1/1PN4P/PBP2P2/3R2K1,40
IMZeyuXiang(IM),IMChangrenDai(IM),1/2-1/2,False,False,2436,2506,r1bqr1k1/5ppp/p2p1n2/1P1P4/2BQ1P2/P1N1n1N1/1P4PP/2KR3R,40
GMYanLiu(GM),FMChenZou(FM),1-0,False,False,2513,2460,r5k1/pN2bppp/4p3/8/5P2/1P6/P3PP1P/1R4K1,40
GMWenjunJu(GM),GMAGoryachkina(GM),1/2-1/2,False,False,2584,2578,4r1k1/p1prqppp/1p1b2n1/2p2R2/4P3/PP1P2BP/2P1N1P1/R3Q2K,40
GMHayrapetyan(GM),FMAArBarseghyan(FM),1-0,False,False,2458,2408,3r1rk1/pp4qp/1np2bp1/3P1b2/1P6/2N1R1P1/PB1Q1P1P/4RBK1,40
GMSturua(GM),IMShahinyan(IM),1-0,False,False,2530,2444,r4rk1/2pp3p/1p1b1n1q/4ppp1/pPP1P3/P2P1NP1/3B1PKP/3QRR2,40
GMEALevin(GM),IMArturDavtyan(IM),1/2-1/2,False,False,2527,2437,r2r2k1/pb2q1pp/1p1b1p2/4p3/2P4Q/1P6/PB1RBPPP/3R2K1,40
IMStefanPogosyan(IM),IMPlatonGalperin(IM),1/2-1/2,False,False,2477,2460,5rk1/pppb3p/3p2p1/2nP4/2PN1P2/4rRP1/P1B4P/R5K1,40
IMZijiZhang(IM),IMZeyuXiang(IM),1/2-1/2,False,False,2432,2436,r3r1k1/pp3ppp/1q6/3p4/1P6/P3P3/3QRPPP/R5K1,40
FMChenZou(FM),MinghuiXu,1-0,False,False,2460,2404,5rk1/5ppp/p7/2R1P3/Pr4b1/8/1P3PBP/R5K1,40
GMLucasVanForeest(GM),IMVincentKeymer(IM),1/2-1/2,False,False,2523,2527,3r1rk1/pp1n1pp1/2pqp2p/4Nb2/3P2P1/1BP4P/PP1Q1P2/3RR1K1,40
IMVincentKeymer(IM),IMMaxWarmerdam(IM),1/2-1/2,False,False,2527,2498,2r1r1k1/1b3pp1/p5q1/1pBp4/3N1b1p/1P2P2P/P4PP1/2RQ1RK1,40
GMSmeets(GM),IMDSaduakassova(IM),1/2-1/2,False,False,2585,2519,r2r2k1/4bppp/p7/1p1qPb2/3p4/1P1B1N2/1P2RPPP/R2Q2K1,40
WGMPogonina(WGM),GMGunina(GM),1-0,False,False,2457,2497,r2r2k1/pp3pp1/8/3Bnb1p/5P2/1N4P1/P2RP2P/3R2K1,40
WGMGirya(WGM),IMBodnaruk(IM),1/2-1/2,False,False,2457,2440,1r1q1rk1/1p3pb1/p1npb1p1/2p4n/2P1P2p/1PN1BP2/P3B1PP/2RQRNK1,40
GMDSadzikowski(GM),GMDragun(GM),1/2-1/2,False,False,2523,2585,4rrk1/5pp1/p2q1n1p/2pPp3/p7/6P1/1PPQRPBP/R5K1,40
GMHeberla(GM),GMDSadzikowski(GM),1-0,False,False,2553,2523,2rnk2r/pp1b1pp1/2n1p2p/q2pP3/3P3P/1RRB1N2/P2Q1PP1/5NK1,40
GMBartel(GM),IMSzymonGumularz(IM),1-0,False,False,2593,2483,r6r/2k2ppp/1b2p3/NB1pn3/PP2nB2/R7/5P1P/3K3R,40
GMDragun(GM),IMIgorJanik(IM),1-0,False,False,2585,2469,r4rk1/4pp1p/1qpnbbp1/3p4/1P1P1P2/p1B1PNP1/P1Q4P/R1R2BK1,40
GMBartel(GM),GMDragun(GM),1/2-1/2,False,False,2593,2585,3r2k1/1b3ppp/p3q3/3p4/3Q4/6P1/PP2PKBP/R7,40
IMIgorJanik(IM),GMDSadzikowski(GM),1/2-1/2,False,False,2469,2523,q4rk1/p2bbp1p/5np1/1p2p3/2p4N/P1N1P1P1/1P3P1P/RQR3K1,40
GMIvanPopov(GM),FMOfitserian(FM),1-0,False,False,2585,2409,2rr2k1/1p3pbp/3p2P1/p1nPp3/Pq3P2/1PN3P1/1BPQ4/1K1R3R,40
IMRFaizrakhmanov(IM),GMLintchevski(GM),0-1,False,False,2444,2525,r2r2k1/5ppp/2b1p3/pBn5/1q2P3/2N2P2/1P2Q1PP/R2R2K1,40
IMMVlasenko(IM),GMTimofeev(GM),0-1,False,False,2410,2593,3rbr1k/pp2qp2/2n1pNpb/2p1P3/2P1Q3/5N2/PP4BP/3R1RK1,40
FMVolodarMurzin(FM),IMSemyonLomasov(IM),1/2-1/2,False,False,2407,2541,2r1rbk1/2q2ppp/b2p1n2/pp1PpN2/n1p1P3/2P2N1P/PPB1QPP1/2BRR1K1,40
GMBocharov(GM),GMYuffa(GM),1/2-1/2,False,False,2530,2595,3rr1k1/1p1bqp2/2pp3p/2n1b1pn/p1PNP3/5PPP/PP1QNBBK/3RR3,40
GMKotronias(GM),IMVugarAsadli(IM),0-1,False,False,2474,2454,r2qrnk1/1ppn1pb1/4b1pp/pP2p3/P3P3/BBP2N1P/3NQPP1/R3R1K1,40
GMAbbasov(GM),GMGareev(GM),0-1,False,False,2534,2560,2r1qr1k/pp4pp/n2p1b2/3Q4/bP3N2/5BPP/P3PP2/1RBR2K1,40
IMGreet(IM),GMGordon(GM),0-1,False,False,2420,2533,r3k2r/p2nbppp/8/1R2N3/1n6/1P1pPP2/1B1P1P1P/2R3K1,40
IMPalliser(IM),IMRis(IM),1/2-1/2,False,False,2411,2461,2Q1k1r1/2pn1p2/3qbn2/3p2B1/3P4/P2BPNb1/6r1/R1KN3R,40
IMPaehtz(IM),GMMcNab(GM),1/2-1/2,False,False,2456,2417,r2r2k1/6bp/p1q2pp1/N1pn1bB1/P7/2NP3P/1P1Q1PP1/2R2RK1,40
IMCamachoCollados(IM),GMHebden(GM),1-0,False,False,2400,2420,6k1/1b2qp1p/3p1np1/1ppPp3/1n2P2N/6PP/1PPQ1PB1/r2NR1K1,40
GMStefanova(GM),GMWells(GM),1-0,False,False,2464,2416,r5nr/pp1k1p2/2p1n1p1/3pP3/2N2P2/4B2P/PPP3K1/3R1R2,40
IMAdair(IM),GMLeRoux(GM),1-0,False,False,2474,2542,5qk1/p1p1nr1p/1r2bp2/5p1Q/2pPp2N/2P1PPPB/P6P/2R2RK1,40
GMNPert(GM),GMAlsinaLeal(GM),1/2-1/2,False,False,2563,2470,2rq2k1/6pp/1r2pp2/1B1p4/P2P4/2PbPP2/1Q4PP/2R1K2R,40
IMEzraKirk(IM),GMMcdonald(GM),1/2-1/2,False,False,2427,2410,2r2rk1/p2qppbp/2p3p1/1p1n2B1/3P2P1/2PB1Q1P/PP2RP2/4R1K1,40
IMAstanehLopez(IM),IMRaviHaria(IM),1/2-1/2,False,False,2427,2432,r5k1/pp1bq1pp/2p5/3pP3/3P1R1r/4P3/PPQ3BP/5RK1,40
IMHouska(IM),IMEggleston(IM),1/2-1/2,False,False,2426,2401,3q1rk1/p4ppp/1pb1p3/3N4/PQ1P4/6P1/4PP1P/2R2BK1,40
GMFodor(GM),FMHarvey(FM),1-0,False,False,2528,2402,r1br2k1/pp4p1/4p2p/q4p2/2PP4/bQn2NN1/P1BR1PPP/4R1K1,40
GMJustinTan(GM),GMHawkins(GM),0-1,False,False,2519,2567,r4rk1/pp3pp1/2b1pn1p/8/P1B2B2/2P5/1P3PPP/R4RK1,40
GMAlsinaLeal(GM),GMGormally(GM),1-0,False,False,2470,2509,r2q3r/6kp/p2p2p1/1p1Nn1b1/4P3/7Q/PPP1B2P/1K1R3R,40
GMTurner(GM),GMLeRoux(GM),0-1,False,False,2517,2542,3qr1k1/pp3pp1/b1r2n1p/8/P1nPpN2/2P3P1/R3P1BP/2B1QRK1,40
GMMcdonald(GM),IMDSaduakassova(IM),1/2-1/2,False,False,2410,2461,2r2rk1/p4p1p/4b1p1/3B4/5B2/b4PP1/P6P/1R1R2K1,40
GMGoganov(GM),FMVolodarMurzin(FM),1/2-1/2,False,False,2580,2407,3r1rk1/1p3ppp/p4nb1/8/P2Nq3/1B2P1Q1/5PPP/2R2RK1,40
GMYuffa(GM),IMRFaizrakhmanov(IM),1-0,False,False,2595,2444,r4rk1/ppbq1p2/4p2p/2PpP1p1/3N4/1P4P1/1P3PP1/R2QR1K1,40
GMLintchevski(GM),GMChernobay(GM),1/2-1/2,False,False,2525,2503,r5k1/pp1q2pp/2p2p2/3p1b2/3P1Q2/2P5/PP3PPP/4RBK1,40
GMGeller(GM),IMMVlasenko(IM),1-0,False,False,2518,2410,4k2r/3nbppp/2p1p1b1/1p1pP3/qPnP4/1NPB3P/2Q2PP1/2B1NRK1,40
GMKosteniuk(GM),IMBodnaruk(IM),1-0,False,False,2546,2427,5rk1/1rq1bp1p/3p2p1/p1nQp3/1pB1P3/1PP1B1P1/P4P1P/R1R3K1,40
GMRasulov(GM),MahdiGholamiOrimi,1/2-1/2,False,False,2533,2406,r3rbk1/2p2ppp/p1q5/4p3/Pp2P3/1P5P/2P1QPP1/R1B1R1K1,40
IMVugarAsadli(IM),GMSanikidze(GM),1/2-1/2,False,False,2454,2488,r6r/2q1bkpp/p2pp3/7P/2pNnPQ1/P3B2R/1PP5/R3K3,40
IMOrtikNigmatov(IM),GMPourramezanali(GM),1-0,False,False,2469,2496,r4b1r/4kpp1/1BR1b3/p3Pp1p/Np2pPn1/1Q6/PPP3PP/2K4R,40
GMGasanov(GM),GMKotronias(GM),1/2-1/2,False,False,2506,2474,3r2k1/p1r1qpbp/1p1pnnp1/1P2p3/1PP1P3/3QB1PP/4NPB1/2RR2K1,40
IMIskandarov(IM),GMAbbasov(GM),1/2-1/2,False,False,2495,2534,5rk1/1pq2bpp/2p2n2/p1Pprp2/3Q4/2N1P1P1/PP3PBP/2R1R1K1,40
GMDGordievsky(GM),GMIonov(GM),1/2-1/2,False,False,2585,2530,r2r2k1/1b2qp1p/p5p1/1p1p3n/2pP4/P1N1P1P1/1PQ2PBP/3R1RK1,40
GMEALevin(GM),GMIvanPopov(GM),1/2-1/2,False,False,2514,2585,r2qr1k1/pp5p/2p2pp1/2bRPbB1/8/1B3N2/PP2QPPP/R5K1,40
GMChernobay(GM),GMYuffa(GM),0-1,False,False,2503,2595,r2r4/4ppkp/2qp1np1/p7/1pPP4/5PP1/PQ3P1P/2RR1BK1,40
GMPotkin(GM),GMIliaIljiushenok(GM),0-1,False,False,2597,2534,2r2r1k/1pqb1pp1/p2ppn1p/5P2/4P2Q/1NNR4/PPP3PP/2KR4,40
IMBodnaruk(IM),GMUshenina(GM),1-0,False,False,2427,2432,1k1r3r/ppb5/2n1ppb1/1N1p3p/1P1P1PP1/P5Bq/4B2P/2RQR1K1,40
IMDenizOzen(IM),GMBrkic(GM),1/2-1/2,False,False,2403,2560,5rk1/3n1ppp/4p3/1q1P4/4Q3/5N2/1P3PPP/4R1K1,40
GMDjukic(GM),FMJanSubelj(FM),0-1,False,False,2566,2407,4rrk1/1bp3bp/p5p1/2p2p2/2N4q/3Q2N1/PPP2PPP/3R1RK1,40
IMSavanovic(IM),GMKozul(GM),1-0,False,False,2423,2589,1k1r3r/3q1p2/B1b2p2/2bR3p/p4P2/2N5/1PP1Q1PP/1K1R4,40
GMASRasmussen(GM),IMJesperSThybo(IM),1/2-1/2,False,False,2541,2513,r1bqr3/pppn2bk/5npp/1P1N4/1B1NPP2/P7/5PBP/2RQ1RK1,40
FMOlsen(FM),GMSuneBergHansen(GM),0-1,False,False,2414,2590,r2q2k1/1ppb1pbp/2np2p1/8/p1P2P2/1P4PP/P2QNN2/1R3RK1,40
IMJonasBuhlBjerre(IM),IMAntonsen(IM),1/2-1/2,False,False,2470,2426,4k2r/3bbppp/B7/2qNp3/p3P3/2PQ4/1r3PPP/3R1RK1,40
IMBjornMOchsner(IM),GMChatalbashev(GM),1/2-1/2,False,False,2486,2521,5rk1/3nppbp/1qp3p1/p7/P2PN3/2PQ4/4NPPP/1R4K1,40
GMAntoniewski(GM),GMTazbir(GM),1/2-1/2,False,False,2500,2540,1n3rk1/1b3ppp/2P2n2/4p3/1p1NP3/6P1/3N1PBP/2R3K1,40
GMVotava(GM),GMMarianJurcik(GM),1/2-1/2,False,False,2518,2494,6k1/pr1qnr1p/1p4p1/2P1pp2/2P5/P1NPQ1P1/7P/1R3RK1,40
