White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
Chepechuy,Torremexicana,0-1,False,False,1232,1356,r3r1k1/pb3pp1/n4n1p/b1p5/2NQP3/PP3PP1/6BP/2R2RK1,40
Armbear,MiniZerdax,0-1,False,True,1357,1233,1r3br1/2pknp1p/Pp2p1pn/3pP1B1/1P1P4/2N5/3N1PPP/R3K2R,40
serrag,GilTe,0-1,False,False,1299,1301,5rk1/2p2pp1/p1p2b1p/1p2r3/5p2/1PP5/P1qN1PPP/R2Q2RK,40
MiniZerdax,Armbear,0-1,True,False,1239,1352,3r2k1/ppp2ppp/2n2q2/2Pn4/8/PPP3P1/3NNP1P/1R1K1R2,40
Looseconnections,TheBloodArtist,1-0,False,False,1376,1219,r2qkr2/p1ppb3/bp4Q1/4pP2/1P2P3/P2P4/3K2B1/nNB3NR,40
vannman,Looseconnections,1-0,False,False,1393,1386,2kr3r/n1qbn3/pb4p1/1p1p1p1p/4pN2/PNP1P1P1/1P3P1P/R1BQKB1R,40
MiniZerdax,perbot,0-1,True,False,1316,1291,r4rk1/pb4pp/3b4/2p3B1/1n1q1p1P/2NP1PnN/PPP3Q1/R3KBR1,40
perbot,MiniZerdax,0-1,False,True,1299,1308,r3kb2/1bp1pn2/p1p1Q1pr/4N2p/5P2/1Pq3P1/P3R1KP/1R6,40
MiniZerdax,perbot,1-0,True,False,1300,1307,4k2r/1q4pp/p2b1n2/4pp2/2pp3P/PnP2PP1/3PP2N/1RBQK2R,40
perbot,MiniZerdax,0-1,False,True,1316,1291,3qk1nr/7p/1pnr1p1b/pQP1p3/5P1N/6P1/PP5P/R1B1K2R,40
MiniZerdax,perbot,0-1,True,False,1299,1308,1r2k2r/p5pp/2n2n2/4pb2/3p4/q1bP1PP1/1RP3BP/1QK3NR,40
adamdyno,MiniZerdax,1-0,False,True,1368,1319,2r2k1r/1p2pppp/3p1n1n/p2P4/1pP1PPPQ/7P/PP6/1K1R1B1R,40
MiniZerdax,adamdyno,0-1,True,False,1326,1361,1k1r3r/ppp1q1pp/3b1p2/5b2/1P1B3P/2P2Pn1/PQ1K2PR/RN4N1,40
adamdyno,MiniZerdax,1-0,False,True,1353,1334,rnbb4/p2p2Q1/1q1k1pN1/1p1Pp3/P1p1P3/2P5/1P1NBPPP/R1B2RK1,40
adamdyno,MiniZerdax,1-0,False,True,1337,1350,nnbq1b1r/1r1kpNpp/1p6/p1pP2B1/2P2Q2/5PN1/PPB3PP/2KRR3,40
MiniZerdax,adamdyno,0-1,True,False,1359,1328,2kr3r/ppq2p1p/2n3p1/2p5/2PpP1b1/P2P1Nb1/RP1QK3/1NB4B,40
MiniZerdax,perbot,1-0,True,False,1355,1315,r2qk2r/p4b1p/1p1b2p1/n1p2p2/P2pPN2/RPPP1Q2/2K1BPPP/1N5R,40
perbot,MiniZerdax,1-0,False,True,1306,1364,r3k1nr/p4pb1/1pBpb1p1/q3P1N1/PpPp1P2/1Q1P2P1/3B4/R3K2R,40
MiniZerdax,perbot,1-0,True,False,1357,1313,3rr1k1/p6p/2p2np1/3pP3/P7/2P1K2P/1P4P1/RNB1NB1R,40
perbot,MiniZerdax,0-1,False,True,1320,1350,1nb2br1/3pk3/rp4pp/p3R3/2PN2P1/2N5/PP4BP/2K2R2,40
adamdyno,MiniZerdax,0-1,False,True,1332,1284,rk3b1r/pb2p2p/p5p1/7q/2N1P2n/1QP2P2/PP2K2P/R6R,40
MiniZerdax,adamdyno,1-0,True,False,1275,1341,N3k1nr/p4p1p/1p6/nKb2b2/7q/2P4P/PP1Q4/R1B1NB1R,40
adamdyno,MiniZerdax,0-1,False,True,1351,1265,1r3bnr/3np1k1/P1p2p1p/6p1/8/2N2N2/1BPP1PPP/R3R1K1,40
MiniZerdax,adamdyno,1-0,True,False,1255,1361,r4bnr/B1p1kppp/8/4pn1P/QP6/2PP1P2/P4PK1/RNq3NR,40
adamdyno,MiniZerdax,1-0,False,True,1355,1261,1rbq1rk1/p1p2pp1/p1Pp1n2/3P4/1P2PQPB/P1N5/5P1P/2KR3R,40
MiniZerdax,adamdyno,1-0,True,False,1250,1366,2k3r1/pp1b3r/3p1q2/2p1np2/P1P5/BPKB2P1/R5QP/7R,40
adamdyno,MiniZerdax,1-0,False,True,1360,1256,r2kQbn1/p1qn3R/b1pNp3/1pPpPp2/1P1P1P2/2NB4/P5P1/R1B1K3,40
MiniZerdax,adamdyno,0-1,True,False,1262,1354,rnr3k1/pp3ppp/2bN4/2N5/1P5P/4P1R1/P1PP1P1n/R1B1K3,40
adamdyno,MiniZerdax,0-1,False,True,1365,1252,r3kb1r/1p1n2np/4p1p1/p1p3q1/4P2N/1PNPQ3/P1PK1P1P/R6R,40
MiniZerdax,adamdyno,1-0,True,False,1241,1376,r3k3/pppb4/2npp3/3n2N1/N7/P2P4/1PP1PPB1/2K3R1,40
adamdyno,MiloBot,1-0,False,True,1372,1200,1r2k2r/nb3pbp/pqppp3/1p4N1/1P2PQ2/2NB4/P1PP1P1P/R1B1KR2,40
MiloBot,adamdyno,0-1,True,False,1204,1368,3qrrk1/p1p2ppp/bp6/P2pN1Pn/3P4/1PK4P/R1P1PP2/1Q3BR1,40
adamdyno,MiloBot,1-0,False,True,1363,1209,r3k2r/pp2b2p/6p1/4p3/1P2P1nN/4B3/P5PP/RN1R2K1,40
adamdyno,MiniZerdax,1-0,False,True,1370,1248,1rb3nr/2qnk2p/1pBp1p2/p2PpN2/Q3P1p1/B7/P1R2PPP/2R3K1,40
MiniZerdax,adamdyno,0-1,True,False,1254,1364,r4rk1/2q3pp/2n5/pppb3n/3p1b2/PP1P1N1P/1BPNB3/1RQK3R,40
adamdyno,MiniZerdax,1-0,False,True,1358,1260,r1bk3r/pp1p4/nq3pnp/2pB1p2/2P5/PP1NBN2/6PP/R2Q1RK1,40
MiniZerdax,adamdyno,0-1,True,False,1266,1352,3k1b1r/pp4pp/2n5/2p5/4PnB1/PP5P/RBP2q1P/1N1K3R,40
MiniZerdax,adamdyno,0-1,True,False,1236,1379,r3r1k1/p5pp/2n2n2/1pp2b2/3p4/1P2P2P/qbPB1PPR/1R1QKBN1,40
adamdyno,MiniZerdax,1-0,False,True,1374,1241,bnrq1bnr/5pp1/1p1p1k2/1BpPpP1p/2N1P2N/P1P1B3/1P1Q2PP/1K1R3R,40
MiloBot,Theosteo,0-1,True,False,1208,1336,r1b1k3/p1p1qpp1/2p5/B7/PP1p1b2/2P1p2r/7P/RN1KQ2R,40
MiloBot,Theosteo,0-1,True,False,1202,1345,r3k2r/1pp2ppp/p1b5/4p3/1bP2Pq1/P3n1P1/1P1NPK1P/4RBR1,40
MiniZerdax,adamdyno,0-1,True,False,1246,1369,r4rk1/4bppp/q1b2nn1/2p1p3/1p1pP3/3P2BP/PP1N1PPR/R1Q1KBN1,40
MiniZerdax,adamdyno,0-1,True,False,1258,1357,2k1r2r/pp1q2pp/n1pb1pb1/3N3n/3P4/P3Q2P/1PP1K1P1/1RBB2NR,40
adamdyno,MiniZerdax,1-0,False,True,1351,1264,B3kbn1/p1p1p3/np4pr/5b2/2qP1P2/2N1BN2/PPPQ4/1K1R2R1,40
HugoDeSastre,MiniZerdax,1-0,False,True,1368,1286,3k1b2/np1p2r1/2nPp2p/pB2Pp1q/P5p1/2N1Q3/1PP2PPP/R4RK1,40
schachsahne,MiniZerdax,1-0,False,True,1391,1292,1nq1k1nr/rp4pp/2p1p3/p1P1R3/8/PQ1B4/1P3PPP/R1B3K1,40
MiloBot,adamdyno,0-1,True,False,1202,1324,2kr2nr/ppp2ppp/8/P1bp1b2/8/4P2N/1q4PP/n2K3R,40
adamdyno,MiloBot,1-0,False,True,1318,1208,r1b5/3p2pp/ppnk1r2/8/2B1Pq2/1PP2P1P/P2NK1P1/R5NR,40
adamdyno,MiloBot,1-0,False,True,1324,1202,r1bQ1k2/4p2r/p4n1p/Bp6/4P2P/NB4p1/PP3PP1/R3K1NR,40
MiloBot,adamdyno,0-1,True,False,1208,1318,2r1k1nr/p4ppp/2n5/2P3B1/3pq1b1/P1P5/5P1P/RN3KR1,40
adamdyno,MiloBot,1-0,False,True,1312,1214,4k1r1/r1p1bp1N/p5pp/1p6/6B1/8/PPPP1PPP/RNB2RK1,40
MiloBot,adamdyno,0-1,True,False,1220,1306,2r2rk1/pp4pp/2n1bn2/4p3/6p1/P7/1P1NKPBP/R1B3NR,40
adamdyno,MiloBot,0-1,False,True,1316,1210,3kq2r/3b1p1p/pr2p2n/2P1P3/4B1n1/NQ1P1N2/PP4PP/R4RK1,40
MiloBot,adamdyno,0-1,True,False,1216,1310,6nr/1R2kppp/3pb3/8/3p4/NP3P2/2P1P1PP/r1BK1B1R,40
MiniZerdax,adamdyno,0-1,True,False,1293,1281,2kr3r/ppq1bbp1/5n1p/2p2p1P/4p1P1/P3P3/1PPP1K1N/RNBQ3R,40
MiniZerdax,adamdyno,1-0,True,False,1285,1299,1r3r1k/pp1b2pB/3b3p/q1p1p1N1/PnPpNn1P/R2P4/1P2PP1R/2BQK3,40
adamdyno,MiniZerdax,1-0,False,True,1291,1293,2b2kr1/2qp1p2/n2b4/p1ppp3/4N1P1/4B3/PPQN1P2/2K3RR,40
MiniZerdax,perbot,1-0,True,False,1284,1324,r2r2k1/2q4p/p1nbNnp1/1p3p2/2p4P/P1P1pPP1/1PPBP1BR/R2QK3,40
perbot,MiniZerdax,1-0,False,True,1317,1291,2bq1knr/6p1/rpQ5/pN2B3/2P2b1p/1P6/P5PP/1K1R1R2,40
MiniZerdax,HugoDeSastre,0-1,True,False,1298,1357,rnb5/pp2kp2/2p2q1r/7B/PbN1p3/1P2P3/1RP2P2/2BQ1KNR,40
adamdyno,MiniZerdax,0-1,False,True,1317,1280,r4bnr/p1p1pk2/2p3pp/4N3/8/2NP4/PPP2P1P/R1B1K3,40
IVmovesChecknMate,vannman,1-0,False,False,1344,1389,1Nb1k2r/1q3pb1/4pnpp/B1P5/3P4/3BP2P/5PP1/R2QK2R,40
joaogustavopa,Ezeklisboa,1-0,False,False,1238,1344,r5r1/1pp1R1p1/p4nk1/5q1p/8/2N4P/PPP1QPP1/3R2K1,40
vannman,PStibbons,0-1,False,False,1395,1329,2kr1b1r/ppp5/2n5/3p3p/1P2p3/P1P1P2P/2KN1q2/R1BQ3R,40
sylvand,MiniZerdax,1-0,False,True,1355,1295,1nbk1b1r/2r1p1pp/1q6/2p3Q1/1pB1P3/1P2BN2/P4PPP/R4RK1,40
rwausmith,QueenofScots,1-0,False,False,1273,1360,r3r1k1/pp3ppp/5q2/3P4/P1pB4/2Pn4/1P2QPPP/3R1RK1,40
schachsahne,MiniZerdax,1-0,False,True,1396,1305,r1k2b1r/1p2p1pp/2p2n2/2B1p3/p3P3/P1N2P1P/1PP2KP1/R2R4,40
Barleneister,ElJujutos,0-1,False,False,1283,1378,r4rk1/1q3pbp/1p1p2p1/1PpPp1P1/P4P1P/3QB2N/5KB1/n6R,40
adamdyno,MiniZerdax,0-1,False,True,1382,1282,rnb1kB1r/p1p3pp/2p2p2/4p1P1/1P6/2P5/P4P1P/RN1KR3,40
MiniZerdax,adamdyno,1/2-1/2,True,False,1280,1384,rnb2rk1/2bp1ppp/8/1KP5/4p2P/4Q2R/PP2P3/RN3qN1,40
adamdyno,MiniZerdax,1-0,False,True,1378,1286,2bq2kr/4b2p/rpBp4/8/pp2N1n1/6Q1/PPP2PPP/RN1K3R,40
MiniZerdax,adamdyno,1-0,True,False,1275,1389,5b1r/3qk2p/3p3n/5p2/PP3P2/2P1P1PN/Q3K2P/RNB2B1R,40
MiniZerdax,adamdyno,1-0,True,False,1270,1394,4k3/p1p2pp1/2r3p1/7r/2B1nP2/1P4Pb/P1PPRP1P/RNB3K1,40
adamdyno,MiniZerdax,1-0,False,True,1389,1275,1r1qk1nr/pp3p1p/3pb3/2p5/4P2b/1PPK1N2/P4PQ1/RN5R,40
alsisrj,rodrigobommar,1-0,False,False,1216,1208,5rk1/5ppp/1q2p3/2b5/1PP1n1b1/1Q2PNP1/1P3PBP/R4RK1,40
jbfjbf,schachsahne,0-1,False,False,1260,1396,r4rk1/p1p2pbp/1p2p1p1/8/1P1P4/2nN1N1P/P4PP1/R1R3K1,40
MiniZerdax,Ovosh,1-0,True,False,1361,1207,r2q1rk1/1bp2ppp/1p1p4/p3p3/P1P1P1P1/1P1P1P1P/4NN2/2R1KBR1,40
Ovosh,MiniZerdax,0-1,False,True,1215,1356,2bq1k1r/r1pn1pbp/1p4p1/p3p3/Q1B1P3/4B2N/P3K1PP/1R1R4,40
MiniZerdax,Ovosh,1-0,True,False,1351,1224,r2q3r/pp4k1/2p2P2/b2p3B/2nPb2P/4P1R1/PPPN2P1/RNBQK3,40
Ovosh,MiniZerdax,0-1,False,True,1234,1345,r4b2/2pkpp2/p1n4n/8/1P1PPP2/8/PP6/RNB2K2,40
MiniZerdax,Ovosh,1-0,True,False,1339,1245,2r2rk1/5ppp/bB6/p3N3/P4n1P/1PN5/RK2PPP1/5BR1,40
Ovosh,MiniZerdax,1/2-1/2,False,True,1241,1341,rnb1kbnr/4p3/p4ppp/Bpp5/4qPP1/N4N1P/PPP1B1Q1/R3K2R,40
Ovosh,MiniZerdax,0-1,False,True,1267,1328,rn3bn1/p3p1p1/2p1k2r/5p1P/2NPP1p1/8/3BQP2/1R2K2R,40
MiniZerdax,Ovosh,1-0,True,False,1321,1283,4rrk1/5ppp/B1Q5/3pP2b/P2Pq3/NP5P/2PK2P1/6NR,40
geemog,adamdyno,1-0,False,False,1351,1383,rnb1kr2/pp1p1p1Q/4q3/8/4P3/8/2B2PPP/2RK3R,40
MiniZerdax,HugoDeSastre,1-0,True,False,1308,1349,r2q1rk1/1b3ppp/1p2n3/p3b3/1P1pN3/2P3PP/P2P1P1R/RQB1K1NB,40
MiniZerdax,jbguest,0-1,True,False,1320,1398,r2q1rk1/5pp1/p1p1p2p/1p3b2/1PpPnP2/Q1P1PKPP/P7/RN4NR,40
MiniZerdax,Manavpalve,0-1,True,False,1300,1202,2kr3r/ppp2ppp/3b3n/8/P3pP2/1PP1PQ2/1B1K1P1P/RN5R,40
Manavpalve,MiniZerdax,0-1,False,True,1263,1293,rqn1kbnr/3b4/p2p2p1/4p1B1/1pP1P1P1/1B3Q2/PPN2P2/R4RK1,40
MiniZerdax,sylvand,1-0,True,False,1247,1363,2kr4/ppprn2B/8/4p3/P4p2/1PP5/2Pn1PPP/3RK1R1,40
ElJujutos,perbot,1-0,False,False,1378,1317,r4rk1/pb4q1/1p1p2pp/PP2pp2/2PpP2B/3P1P2/3QB1PP/R3K2R,40
perbot,MiniZerdax,1-0,False,True,1310,1254,rnb3r1/2p1kq1p/1p4pQ/p2Pp2N/2P1P3/1P1B4/P5PP/R4RK1,40
MiniZerdax,perbot,1-0,True,False,1244,1320,1n2k2r/3b2p1/1p1qp2p/1Pb2p2/3NpP2/4P2P/1BP3P1/R1Q1KBR1,40
perbot,MiniZerdax,1-0,False,True,1313,1251,1nb1q2r/2ppb2p/1p1kpQ2/1P3p2/2NP4/P2B4/P5PP/R4RK1,40
Ezeklisboa,joaogustavopa,0-1,False,False,1344,1238,r4qk1/1pp2p2/p1n1r1p1/4pNQn/1P1pP3/P1PP3P/5PP1/RN2K2R,40
Armbear,MiniZerdax,0-1,False,True,1370,1238,QR1q3r/2p1nk2/1p1p1p2/1N1P2pp/1P6/8/2PN1PPP/6K1,40
MiniZerdax,Armbear,1-0,True,False,1227,1381,2b1k2r/3n1ppp/2p5/3nb3/1p2N1P1/1P2P1NP/r1PB1P2/1R1K1BR1,40
Armbear,MiniZerdax,1-0,False,True,1376,1232,1nb3nr/1p1pk3/1N1b2p1/2p1p1Np/PpB1P2P/1P4Q1/2P2PP1/3R1RK1,40
MiniZerdax,perbot,1-0,True,False,1209,1324,r6r/2q1n1pp/3b1k2/1Q3p2/1N1pp3/PR5P/3PPPP1/2BKNB1R,40
perbot,MiniZerdax,1-0,False,True,1318,1215,r1b2b1r/p7/np1Pp1p1/2p1PpPp/2P5/2NB2k1/PP6/2KR3R,40
BXTOOC,MiniZerdax,1-0,False,True,1317,1221,2q1k1nr/2pp3p/n3p1p1/5pN1/2QP1B2/4PP2/1PP3PP/5RK1,40
MiniZerdax,perbot,0-1,True,False,1227,1312,1r4k1/p4q1p/r1pbb1p1/2p2p2/2P1p3/PP2P2P/R2PNPP1/2BQ2KR,40
perbot,MiniZerdax,1-0,False,True,1306,1233,2bq1b1N/nr1kn3/ppp1p3/4NpBB/2PP4/1P6/P5PP/R2Q1RK1,40
vannman,RysNow,1-0,False,False,1386,1354,r1bq1rk1/1p6/pnp2p1Q/3p2p1/3Pp1P1/PNP1P1P1/1P6/R1B1KB1R,40
vannman,RysNow,0-1,False,False,1385,1331,r2qr1k1/p4npp/3b1p2/8/8/P1Q3PP/1P2NP2/1N2KB1R,40
SaintSkunk,geemog,1-0,False,False,1279,1364,r3kb1r/pp3p2/2np1q1p/5p2/2P1p3/P3P2P/3NBPPB/1RR1N1K1,40
sylvand,MiniZerdax,1-0,False,True,1357,1270,rn2k1nr/p1Bp1pp1/1p1P1q2/1P1Qp3/2P1P2p/P6P/4NPP1/R3R1K1,40
MiniZerdax,sylvand,1-0,True,False,1260,1367,1r4k1/1r3ppp/pNnq2b1/B3p3/3pP3/3P2PB/1RP1NP1P/1Q1K3R,40
Armbear,MiniZerdax,0-1,False,True,1387,1241,Nn1q2nr/1p1bk1b1/3p1p2/pBpP2p1/4P2P/4BNQ1/PP3P2/R3K2R,40
Gaufo,Carlogaralde,1-0,False,False,1312,1392,r1bb1r2/2q4k/pn1p1ppp/2pPpN1B/2P1P3/P3PQ2/4N1PP/1R3RK1,40
Carlogaralde,Gaufo,1-0,False,False,1383,1319,3r3r/3kn1p1/p2b3p/1PpP1p2/5P2/2N5/PP1KP1BP/R1B1R3,40
perbot,MiniZerdax,1-0,False,True,1309,1248,r3kbnr/1bp1p3/1p2P1pp/1N1P1p2/2P2Bq1/pP1Q1NP1/P6P/2R2RK1,40
MiniZerdax,perbot,1-0,True,False,1238,1319,r4rk1/pp5p/3bq1p1/2p1n2n/P3N2P/1bPPPN2/1P2QPB1/R1B2K1R,40
MiniZerdax,adamdyno,0-1,True,False,1261,1367,r1b1k1nr/pp4pp/8/3pP3/1n3B2/8/PPP1P2P/R2K3R,40
adamdyno,MiniZerdax,1-0,False,True,1348,1263,2r2br1/2p2p2/p1p1kp1p/2P1p3/4P3/3P1N2/P4PPP/1R3RK1,40
SaintSkunk,MiniZerdax,1-0,False,True,1224,1272,bn1qkbn1/r1p1pp1r/7p/N1PpB1p1/pQ1P2N1/P3P2P/4BPP1/2R2RK1,40
BlackLabrador,MiniZerdax,1-0,False,True,1273,1331,r1b1k3/pp6/n2pp3/2p3N1/2P1PPp1/P1PP4/1B6/2KR4,40
perbot,MiniZerdax,1-0,False,True,1311,1332,1nb1k3/2qp1p2/rp2p1pr/p1b3N1/2P1PPQB/1PN3P1/P6P/1K1R3R,40
MiniZerdax,perbot,1-0,True,False,1324,1319,7r/R5pp/3Bbk2/3n1p2/8/1P3P1P/3PP1P1/1N2KBNR,40
Gaufo,vannman,0-1,False,False,1348,1374,r1b1k2r/p4p2/1pp1p1pp/q2pP3/3R4/1P5P/3NQPP1/5RK1,40
vannman,MiniZerdax,1-0,False,True,1367,1344,r1bq1k2/4p1p1/p1p2n1r/np1p4/3P4/P1PBPQ1p/1P1N4/R1B1K2R,40
MiniZerdax,vannman,1-0,True,False,1335,1376,2kr1b1r/2qb4/p1pnp1pp/1p1p1p2/1P1P1P2/N1PKP2N/PR4PP/4QB1R,40
vannman,MiniZerdax,1-0,False,True,1369,1342,rn1q1k2/6pr/3pp3/2p2p1n/p1N5/P1P1PPpP/1P1B2Q1/2KR4,40
joaogustavopa,Ezeklisboa,1-0,False,False,1238,1344,r1k4r/1p2RBpp/pqb5/2BQ4/8/5N2/P1P2PPP/3R2K1,40
RafaelMauricio,emirkoshah,1-0,False,False,1323,1253,r1q1r1k1/p1p3bp/bp4p1/3QN3/5B1P/2P3N1/P4PP1/R3R1K1,40
MiniZerdax,GreySquare,0-1,True,False,1338,1397,1k2r2r/ppp1q1p1/2bb1p1n/3p2n1/7N/2PPN2P/PP1BQPK1/2R2B1R,40
GreySquare,MiniZerdax,1-0,False,True,1390,1345,1rbqk2r/p1np3p/3p1bp1/1ppB4/3nPQ2/2B4N/PPP2PPP/R4RK1,40
perbot,MiniZerdax,0-1,False,True,1319,1332,r1bqk2r/1n1npp1N/6pQ/p1p1P3/2P5/1PNB2P1/PK5P/3R3R,40
MiniZerdax,perbot,1-0,True,False,1324,1327,1r2k2r/p2b4/5n1p/2Np2p1/5pP1/P4P1B/1nPP2QP/R1B3KR,40
perbot,MiniZerdax,0-1,False,True,1335,1316,2bq1bN1/r1pp1k2/pp5p/8/2PnPR2/1P1B2P1/P6P/R5K1,40
MiniZerdax,perbot,1-0,True,False,1307,1344,r5k1/pp1qn2p/4b3/4npB1/8/NP4PP/P2QNPBR/b2K4,40
MiniZerdax,Armbear,0-1,True,False,1318,1378,2b1k2r/6pp/2p3p1/1p1pP2P/8/r1P5/P3PPP1/4KB1R,40
drzach,Barleneister,0-1,False,False,1380,1283,r3k1n1/1b6/3qpb2/pPnp2p1/3N1pP1/2PP4/1PB1QP2/RNB1K3,40
sylvand,MiniZerdax,0-1,False,True,1372,1302,1r3k1r/1p1p1ppp/2nn4/4P3/p2p4/P2B1NPP/1P3P2/R1R2K2,40
vannman,MiniZerdax,1-0,False,True,1362,1299,rnb2k2/2p3p1/1pp1p2n/7B/p2P4/P1P1P1PP/1P3P2/R1B2RK1,40
joaogustavopa,Ezeklisboa,1-0,False,False,1238,1344,r1b2k1r/4npqp/5n2/pBpPp3/1p2P1pP/1P4P1/3N1P2/2RQR1K1,40
deruja,vannman,0-1,False,False,1366,1363,r1b1k2r/5pp1/p1p1p2p/q1Np4/8/1P2P2P/P2Q1PP1/R3KB1R,40
vannman,deruja,1-0,False,False,1354,1379,r4r2/2p1bpk1/7p/p2pN1p1/3P2P1/P1P1P2P/1P3P2/R1B1K2R,40
deruja,vannman,1-0,False,False,1367,1362,r2qkbr1/pp1b4/2p1pRp1/2P4p/3P4/1P2P2P/P2BB1P1/R4QK1,40
MiniZerdax,Carlogaralde,0-1,True,False,1314,1385,rn2k3/pp6/2pb2p1/4pq1n/P7/2N2bP1/1PPP4/R1B1KBQN,40
MiniZerdax,schachsahne,0-1,True,False,1318,1380,r4rk1/2p1bpp1/p4n1p/1p2p3/3pP2P/qN1P1P2/P1P1KPB1/4R1QR,40
