White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
Gotbe,lurelei,0-1,False,False,1434,1507,3rr1k1/2p3pp/2P1p3/pp3pq1/8/2P1PQ2/PP4PP/R4RK1,40
lurelei,Gotbe,1-0,False,False,1500,1441,r1b2rk1/pp1pqppp/7b/2PQP3/1P1B3P/P1N3P1/5P2/R4RK1,40
Gotbe,lurelei,1-0,False,False,1431,1510,2kr4/Bp4pp/5n2/q3pQ2/8/2P2P2/P5PP/R4RK1,40
Jpessoa,KENR,1-0,False,False,1470,1452,3r3r/1pQkp1b1/1np1b2p/1q1pB1p1/8/1P3BPP/P1P2P2/R4RK1,40
ducetray,Rexonarus,0-1,False,False,1569,1428,4r1k1/1p1q2p1/2n1pp1p/r2p4/4nP2/4PN2/1BP3PP/RN3RK1,40
elcafetero,Jozamora,0-1,False,False,1563,1438,r2qkb1r/8/3pBp2/n1p1pP2/1p2P1p1/pP1PBPPp/P1PN4/1K1R3R,40
Rexonarus,ducetray,1/2-1/2,False,False,1425,1572,5rk1/r5pp/p2qpn2/1p3p2/3P4/2PQP2R/PP4PP/R1B3K1,40
perthao,Dacoit,1-0,False,False,1577,1550,r5nr/pp3k2/1q1p2p1/6Q1/2PnPP2/P2pB1Pp/NPP2R1P/R5K1,40
Sarulite,Rexonarus,1-0,False,False,1563,1430,4r1k1/1prqbp2/2bp1p1Q/8/8/2N5/PP1N1PPP/R3R1K1,40
ducetray,Looseconnections,1/2-1/2,False,False,1575,1412,3rk3/1p5q/p1p1P1pn/2b2p1p/5P2/2B5/PPP1Q1PP/R4R1K,40
Looseconnections,ducetray,0-1,False,False,1421,1570,r2r2k1/3b1pp1/1pp1p2p/8/4Q1P1/P1b4P/4KP2/R4BNR,40
jfstepha,Ravelochess,0-1,False,False,1493,1467,1n3rk1/2pq1pp1/1p1bp2p/1P6/3PN3/1Q4B1/5PPP/R5K1,40
steward,ADITYAREDDY,1-0,False,False,1495,1473,r1bk1r2/2q1bp2/p1pp4/8/B1P5/3P1Q2/PP1B1PPP/R3R1K1,40
ducetray,steward,0-1,False,False,1580,1485,3q1rk1/3b1ppp/5n2/1p6/r2Pp3/1Q2P1N1/PP3PPP/R4RK1,40
ducetray,mmschess,1-0,False,False,1573,1508,r1b1k2r/1p2bpp1/p2p3p/4pPn1/2q5/P1NNQ3/1P1P2PP/1RB2R1K,40
NADIMMM,PasChat,0-1,False,False,1557,1502,r2r2k1/2p2ppp/p2b4/1p6/6q1/PQB1P1P1/1P3P1P/3R1RK1,40
mmschess,ducetray,0-1,False,False,1515,1566,1r3b1r/p3kppp/4p3/4P3/BP5P/2N3q1/3P4/2KR4,40
