White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
chessloon,masterdylan,0-1,False,False,2130,2111,1k1r3r/1p3ppp/1P3nb1/2Q1N3/4p1P1/1P5P/P2PBP2/b3K2R,40
chessloon,masterdylan,0-1,False,False,2130,2111,1k1rr3/2p2ppp/1p4b1/n7/P3B1P1/3p4/P2N3P/1RB1K2R,40
masterdylan,chessloon,1-0,False,False,2102,2139,r1b2rk1/p1b2ppp/2p5/3p4/1P3P1q/2P1BQ1P/P2N2PK/R4R2,40
chessloon,masterdylan,1-0,False,False,2131,2110,r4r1k/p4p1p/6q1/b1p1p2R/P7/7Q/1PP1BPP1/3R1K2,40
masterdylan,chessloon,1-0,False,False,2101,2140,1r4k1/p2p1r1p/1q1Pp1P1/3pP3/2bN4/2P5/PP1Q2P1/2KR3R,40
masterdylan,chessloon,0-1,False,False,2116,2125,r3k2r/pppn1pp1/q3p3/6Pp/2PP1P1P/2B2R2/P1b1Q3/R3K1N1,40
chessloon,masterdylan,0-1,False,False,2134,2107,r4rk1/1pq1nppp/8/p2pPb2/2nB4/1PP2P2/P3Q2P/RN1BR2K,40
masterdylan,chessloon,1-0,False,False,2098,2143,5rk1/1b3pp1/2p2q1p/p1b1rP2/3p2Q1/3B1R2/PPPB2PP/R6K,40
chessloon,masterdylan,1-0,False,False,2136,2105,4qk1r/4rppp/8/p3p3/P1Q5/2P5/2P2PPP/1R3RK1,40
masterdylan,chessloon,1-0,False,False,2096,2145,r1b2rk1/p1n1q1p1/4pnQp/3p4/2p5/P4N2/P1B2PPP/1RB1R1K1,40
chessloon,masterdylan,1-0,False,False,2138,2103,k2r1b1r/PpNqp2p/7n/3pp3/1p1N1pb1/8/3PB1PP/2RQ1R1K,40
masterdylan,chessloon,0-1,False,False,2111,2130,3r1rk1/1p2qpp1/p5bp/4p3/1nP1p3/4B2Q/PP1N1PPP/R3R1K1,40
GriffyJr,gleangleam,0-1,True,False,2125,2127,r3r1k1/3nbp1p/p2p2p1/1pqP2P1/3QBP2/8/PPP4P/2KRR3,40
chessloon,masterdylan,0-1,False,False,2139,2102,2rqr1k1/4bB1n/p1b4p/1p2P1p1/7B/2N3Q1/PPP3PP/R4R1K,40
masterdylan,chessloon,1/2-1/2,False,False,2101,2140,r4rk1/p1Qbqpp1/4p1n1/7p/7P/5N2/P1P2PP1/1R3RK1,40
floare,blore,1/2-1/2,False,False,2047,2009,3r1rk1/2p1qppp/1p2b3/p3P3/4B3/P1Q2P1P/2P3P1/3R1RK1,40
blore,floare,1/2-1/2,False,False,2008,2048,4r1k1/p3r1pp/1npq4/1p1pNp2/1P1P4/P3PP2/3Q2PP/4RRK1,40
blore,lrzal,0-1,False,False,2007,2166,4rrk1/p5pp/2pq1p2/3p2P1/1pnP1P1P/3QP2R/PP2N3/2K2R2,40
floare,Aromas,1-0,False,False,2037,2006,4r1k1/1p1r2pp/p3bp2/4p3/2PB4/3B3P/PP3PP1/3RR2K,40
floare,Aromas,1-0,False,False,2078,2010,3r2k1/5pp1/p1q2b1p/2pNp3/2Q5/6P1/PPP2P2/3R2K1,40
Achonk,Floerkeli,0-1,False,False,2030,2001,4rr1k/pp1n2pp/2p5/1q1n2p1/2NP4/1P5P/P1PB2B1/R5KR,40
foxbat,GriffySr,1-0,False,True,2077,2190,r6k/4b2p/p2p1npB/1pp1p3/1q2PP1P/1PNP4/1PPQ4/1K5R,40
